Week Month Year MICAA ARROW DUNCA DWORS FLASF LIBBY ALBEN FLAPO CORRA BROWN GCOUL
14 11 2008 19662637 6638865 1296206 2232303 2770131 5676012 762453 1792000 817000 1360468 9107400
15 11 2008 19505348 6520799 1250437 2230568 2711956 5518822 696602 1790869 817000 1356104 9107400
16 11 2008 19348059 6402733 1204669 2228832 2653781 5361632 630751 1789739 817000 1351741 9107400
17 11 2008 19190769 6284667 1158900 2227097 2595605 5204442 564899 1788608 817000 1347377 9107400
18 11 2008 19033480 6166601 1113131 2225361 2537430 5047252 499048 1787477 817000 1343013 9107400
19 12 2008 18738836 5954816 1042470 2219460 2423590 4740955 499048 1769824 817000 1329179 9107400
20 12 2008 18444192 5743031 971809 2213560 2309751 4434658 499048 1752171 817000 1315344 9107400
21 12 2008 18149547 5531246 901148 2207659 2195911 4244400 499048 1734518 817000 1301510 9107400
22 12 2008 17854903 5319461 830487 2201758 2083480 3869400 499048 1716865 817000 1287675 9107400
23 1 2009 13919604 1249183 123380 2107940 1348614.82181847 2398527 499048 1657718 810693 1255979 9107400
24 1 2009 13919604 1249183 123380 2107940 1319616.70071458 2398527 499048 1598571 804386 1224283 9107400
25 1 2009 13919604 1249183 123380 2107940 1290373.37105052 2398527 499048 1539424 779185 1192587 9107400
26 1 2009 13919604 1249183 123380 2107940 1262150.138031 2398527 499048 1480277 741641 1160891 9107400
27 2 2009 13919604 1249183 123380 2107940 1232124.81212512 2309400 499048 1421130 704096 1129195 9107400
28 2 2009 13758249 1082274 105579 2102386 1207665.97831576 2039400 499048 1297560 670000 1117691 9035300
29 2 2009 13596894 915366 87777 2096833 1182612.93962988 1769400 499048 1173990 626375 1106187 8963300
30 2 2009 13435538 748457 69976 2003000 1156984.99857331 1499400 499048 1050419 582750 1055171.90293 8891300
31 3 2009 13274183 581548 52174 1898000 1131286.33081572 1229400 499048 926849 539125 933562.537239997 8819300
32 3 2009 13220530 523135 45579 1790500 1136883.5838079 1059400 499048 838337 495500 876148.488704996 8131550
33 3 2009 13166878 464722 38984 1683000 1207404.99292736 889400 499048 749825 413175 818734.440169995 7443800
34 3 2009 13113225 406308 32388 1575500 1271310.52188015 889400 499048 661312 330850 761320.391634994 6756050
35 3 2009 13059572 227300 25793 1468000 1317679.47006168 889400 499048 572800 248525 703906.343099993 6068300
36 4 2009 13046481 288589 25397 1468000 1368801.67529532 889400 499048 572800 166200 653906.343099993 5752550
37 4 2009 13033390 229283 25000 1468000 1398474.70282752 889400 499048 572800 191341 603906.343099993 5436800
38 4 2009 12794246.9893918 228292 25000 1848106 1464186.92281675 889400 630751 592932 216482 540940.723685993 5121050
39 4 2009 12963012.7241938 227300 45873.4836355179 1452800 1663887.91708344 889400 762453 613064 241624 477975.104271992 4805300
40 5 2009 13195451.1091203 227300 117536.413875239 1700384.82587526 1921360.45970663 1300069.22006105 797600 774122 266765 1100514 4805300
41 5 2009 13479703.0175705 227300 221527.085184247 2126735.64912786 2223501.86860458 1870347.14772526 832747 935180 283646 1137486 4805300
42 5 2009 13984190.0193372 929871.290259273 351628.265017662 2470552.04350562 2461181.88341659 2657094.18935441 867894 1096237 283646 1174458 9107400
43 5 2009 14496105.6403352 1638611.76812141 470312.314550738 2703463.90199172 2602776.0395659 3403809.48243011 903041 1257295 283646 1211430 9107400
44 5 2009 15219579.5859853 2355326.0525175 629345.810040027 2837626.72827352 2683281.20623495 4134761.26494113 938188 1418353 283646 1248402 9107400
45 6 2009 16552415.6711571 3404278.51780031 828751 3025476.74128191 2818007.11581612 4624929.49874165 1088641 1511765 390555 1287873 9107400
46 6 2009 17719131.6666557 4632131.35234269 918454 3134880.47795419 2858048.38131851 5107351.9861976 1239094 1605177 417612 1327344 9107400
47 6 2009 18486935 5631988.00787211 1008156 3346351.3353641 3012181.53578873 5461500 1389547 1698588 442753 1366815 9107400
48 6 2009 18980044.9164513 6369762.30631156 1097859 3468000 3071500 5743053 1540000 1792000 467894 1420000 9107400
49 7 2009 19338140.1761027 6754213.04943532 1179619 3353678 3053069 5752127 1540000 1792000 493035 1420000 9107400
50 7 2009 19652918 7033632.00690672 1261379 3239356 3034638 5869400 1540000 1792000 518176 1420000 9107400
51 7 2009 19863959 7291406 1343140 3125033 3016208 5869400 1540000 1792000 543318 1420000 9107400
52 7 2009 20075000 7327300 1424900 3010711 2997777 5869400 1540000 1792000 568459 1420000 9107400
1 8 2009 19553612 7116541 1347699 2896389 2979346 5770433 1540000 1792000 593600 1392402 9107400
2 8 2009 19814306 7221921 1386299 2782067 2960915 5671467 1540000 1792000 638280 1392402 9107400
3 8 2009 20075000 7327300 1424900 2667744 2942485 5572500 1540000 1792000 682960 1392402 9107400
4 8 2009 20073116 7321562 1423330 2553422 2924054 5473533 1540000 1792000 711282 1392402 9107400
5 8 2009 20071231 7315823 1421759 2439100 2905623 5374567 1540000 1792000 711282 1392402 9107400
6 9 2009 20040487 7239906 1410701 2387014 2887192 5275600 1482126 1792000 737712 1381394 9107400
7 9 2009 20009744 7163989 1399644 2334849 2868762 5176633 1424251 1792000 764141 1370386 9107400
8 9 2009 19979000 7088071 1388586 2282683 2801321 5077667 1366377 1792000 790571 1359377 9107400
9 9 2009 19948256 7012154 1377528 2230518 2726227 5639913 1308502 1792000 817000 1348369 9107400
10 10 2009 19891132 6937496 1361264 2230875 2735008 5647133 1199292 1792000 817000 1350789 9107400
11 10 2009 19834008 6862838 1344999 2231232 2743789 5654353 1090082 1792000 817000 1353209 9107400
12 10 2009 19776885 6788181 1328735 2231589 2752570 5661572 980873 1792000 817000 1355628 9107400
13 10 2009 19719761 6713523 1312470 2231946 2761350 5668792 871663 1792000 817000 1358048 9107400
14 11 2009 19662637 6638865 1296206 2232303 2770131 5676012 762453 1792000 817000 1360468 9107400
15 11 2009 19505348 6520799 1250437 2230568 2711956 5518822 696602 1790869 817000 1356104 9107400
