"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "FLAPO" "ALBEN" "CHELA" "JLAKE" "PALIS" "IPARK" "RIRDM" "AMERI" "MINAD" "BOISE" "PAYHS" "OWYHE" "PELTO"
1980-02-24 2 30 24 1980 14080799.2446624 2809371.1072315 202630.058579735 582750 3505460.10980956 1599307.41831237 6372675 2091279 1094683 1050419 499048 1366140 847000 1401000 135205 59960 1672590 95180 861000 610000 1048244.15620628 522461
1980-03-02 3 31 2 1980 13848854.9816903 2602202.49419271 177539.375336152 539125 3469456.61422727 1580836.7488225 6695992.34733495 2085725 1020000 926849 499048 1355747 847000 1401000 135205 61545.594963717 1672590 95180 861000 610000 1044950.60832496 519270
1980-03-09 3 32 9 1980 13672508.6894647 2547219.20982251 174969.628469399 495500 3441571.15108206 1581704 6770766.34733495 2096634 1001357.7257014 838337 499048 1345353 847000 1401000 135205 62741.4419051482 1672590 95180 896527.793824636 610000 1049424.37612245 528045
1980-03-16 3 33 16 1980 13521320 2386528.01363725 155262.837279525 413175 3392729.90374484 1583023 6802500.34733495 2107543 982715.451402805 749825 499048 1334960 847000 1401000 135205 64114.2014655446 1672590 95180 875485.004786897 610000 1058396.87210497 536820
1980-03-23 3 34 23 1980 13439452 2114721.89061617 114963.176332886 330850 3324923.24904662 1584343 6828285.34733495 2118452 964073.177104208 661312 499048 1324567 847000 1401000 135205 65489.3024349209 1672590 95180 853609.235824673 610000 1069452.94795489 545595
1980-03-30 3 35 30 1980 13357584 1898574.43639107 75217.3156627624 248525 3255816.92267185 1585663 6864977.34733495 2129361 945430.90280561 572800 499048 1314173 847000 1401000 135205 66862.3917231376 1672590 95180 837115.374707876 632971.937879896 1081393.69877112 551206.585161604
1980-04-06 4 36 6 1980 13244527 1645372.51333898 53404.2824441902 166200 3162258.52266506 1585016.43364562 6875688.34733495 2141475.40361024 920430.90280561 572800 499048 1303780 847000 1401000 135205 69653.7160613316 1672590 95180 798431.412377541 626190.135858407 1085753.61964237 548749.261379824
1980-04-13 4 37 13 1980 13131469 1651344.24923351 59866.7990757513 191341 3124519.04782769 1584963.02689822 6348717.55547536 2177266.7120777 895430.902805611 572800 564080.175821111 1293387 846909.414947411 1400755.69485817 135205 72926.6818986891 1672590 95180 776193.382865616 601999.176873158 1090738.41097215 550688.744495412
1980-04-20 4 38 20 1980 13104494 1768614.92581157 85325.085832422 216482 3143384.74575825 1622404.14588456 5821746.76361578 1905025.7127951 883146.354208416 592932 666575.085731909 1282993 847000 1401000 135205 76665.3455360311 1672590 95180 768889.56621645 591742.070101706 1095826.86333243 557295
1980-04-27 4 39 27 1980 13077518 2191476.24338992 156245.082372045 241624 3295795.67875649 1799236.71746355 5294775.97175619 2125245.97582527 870861.805611221 613064 1134569.60160239 1272600 826275.594478339 1345069.07425479 135205 79770.1680890014 1672590 95180 814716.291794248 612001.373025483 1101874.04851466 558270
1980-05-04 5 40 4 1980 13192083 2791757.39854307 237477.957123951 266765 3634463.88720098 2021757.92730921 5129300 2340214.90231376 1287519.0864108 774122 1209739.38876339 1314040 817761.436850901 1322144.48120395 135205 81915.7431817916 1672590 95180 818553.655578168 637425.520269263 1105023.86460413 558270
1980-05-11 5 41 11 1980 13344093.0364482 3453326.388834 340527.492235691 290950.44748103 3982157.10138041 2191353.19461413 5455394.70678569 2525294.06651776 1387317.55879609 935180 1195973.15965065 1355480 801242.334738565 1287228.18348668 135205 84312.3141160208 1672590 92667.182875394 860650.303311488 668432.865258325 1108819.99291829 558270
1980-05-18 5 42 18 1980 13477854.8872158 4088484.81931009 422058.397512925 310403.102315547 4154813.91746179 2264274.82989248 6029719.36194374 2654730.13665095 1347765.40930971 989747.97129842 1213471.65754003 1396920 797267.580975626 1262551.95571901 135205 86792.057288134 1672590 95180 893129.318922838 696350.294122302 1119486.16219871 558270
1980-05-25 5 43 25 1980 13699119.9362934 4788045.85547733 619431.43021464 342188 4430695.13767539 2339169.15084944 7105831.15857956 2771695.31082259 1211430 1082645.85458904 1419640 1438360 801877.335610603 1295286.69771043 135205 89543.2541164806 1672590 70290.740167282 930929.020078031 724822.470612093 1120000 558270
