"date" "month" "week" "day" "year" "TotalFloodSpace" "TotalRelReducReq" "TotalMcNarySharedWater" "TotalBONSharedWater" "GCSupForVernitaBar" "BRLGSup" "BRRelForJBandLP" "DWLGSup" "DWFirmEngSup" "GCFirmEngSup" "TotalEnergySup" "UpstreamFloodEvacGC" "TotalFloodRelSharedWater" "GCMinFloodRelReq" "ARMinFloodRelReq" "ControlledFlow" "BRIn" "GCIn"
1980-11-30 11 18 30 1980 2399119.62964083 0 225266.700399281 250009.464713736 0 0 76056.095977155 0 NA 0 NA NA 0 0 0 10000028451.1636 393077.82582971 398442.464713735
1980-12-07 12 19 7 1980 3974116.35144529 0 583771.627326266 2248175.52928578 0 0 68659.400314211 0 NA 0 NA NA 0 0 0 10000027248.0296 175038.710324008 533883.763956752
1980-12-14 12 20 14 1980 3543268.90014053 0 309028.644486767 1513945.08974025 0 0 59539.0989957851 0 NA 0 NA NA 0 0 0 10000019681.3489 202405.960160779 521504.477475108
1980-12-21 12 21 21 1980 3405803.10769349 0 127944.339177281 908689.965381189 0 0 66293.552356452 0 NA 0 NA NA 0 0 0 10000016457.8288 141319.533831322 497156.644287515
1980-12-28 12 22 28 1980 2650155.32926672 0 357320.243572745 595458.228129315 217563.569169888 0 65899.794339246 0 NA 0 NA NA 0 0 0 10000013220.9991 215942.11382985 810490.569169888
1981-01-04 1 23 4 1981 2251421.01614368 0 3206054.62479632 364543 0 0 52856.39897829 0 NA 99930.1474532659 NA NA 1110793.57191484 0 0 10000013356.4975 279490.857085663 1316081.57987851
1981-01-11 1 24 11 1981 2863452.9467478 0 2653949.6715271 275195.181064857 170090.89242744 0 69574.122754963 0 NA 224207.055782744 NA NA 723539.857452724 0 0 10000014071.4693 175346.146274778 902050.60915002
1981-01-18 1 25 18 1981 4166165.52952378 0 2094578.64167646 551471.637012858 409521.033663325 0 69545.741611929 0 NA 43787.8478376069 NA NA 141170.135919852 0 0 10000013225.4752 165213.706819955 694132.995401083
1981-01-25 1 26 25 1981 3405564.75225385 0 1112343.10065053 549014.710000234 435196.928579312 0 68835.150244922 0 NA 0 NA NA 0 0 0 10000008550.9951 175420.420650239 710540.792659459
1981-02-01 2 27 1 1981 3302684.38941851 0 1145506.06941355 552162.924299827 481783.9718815 0 61504.50059036 0 NA 5722.14403972367 NA NA 0 0 0 10000006484.4211 247890.723409017 974313.045113728
1981-02-08 2 28 8 1981 3048675.80338345 0 931568.315737652 909937.457713089 299417.157771115 0 55796.820067329 0 NA 99676.6258109708 NA NA 0 0 0 10000005528.0813 163063.852000167 894111.943687352
1981-02-15 2 29 15 1981 2868868.15028479 0 820467.18727108 802483.24810329 388453.468604538 0 58390.900286345 0 NA 39437.7014295018 NA NA 0 0 0 10000004541.5944 151323.542461258 859791.24810329
1981-02-22 2 30 22 1981 2902075.99584072 0 1097411.04421182 1076534.94421182 530887.3062594 0 40322.873516808 0 NA 21425.814024806 NA NA 0 0 0 10000003604.4782 312424.029430406 1133841.94421182
1981-03-01 3 31 1 1981 2704567.84660243 0 1237128.6887585 1216252.58875849 72599.2814743801 0 36460.618947841 0 NA 0 NA NA 313117.215919159 0 0 10000002898.0482 298986.755012744 1622450.5353505
1981-03-08 3 32 8 1981 3024014.73802274 0 987642.567477174 987642.567477174 150024.21150831 0 60345.182719844 0 NA 58012.9926665912 NA NA 0 0 0 10000003725.7175 193149.83770321 1165813.35155801
1981-03-15 3 33 15 1981 2212439.58290782 0 581298.756256058 580798.756256058 267450.461112565 0 59964.086885034 0 NA 3393.57042314572 NA NA 0 0 0 10000003053.2484 223035.194141377 1029046.75625606
1981-03-22 3 34 22 1981 2010556.54387111 0 471590.289476872 471090.289476872 361077.07617267 0 60224.016150482 0 NA 0 NA NA 0 0 0 10000003077.1045 282629.368882355 913389.289476872
1981-03-29 3 35 29 1981 2002242.19816258 0 479739.241926912 479239.241926912 202905.624168773 0 54632.170242353 0 NA 7383.54183679425 NA NA 0 0 0 10000003156.028 340983.583479098 932445.241926912
