"date" "month" "week" "day" "year" "TotalFloodSpace" "TotalRelReducReq" "TotalMcNarySharedWater" "TotalBONSharedWater" "GCSupForVernitaBar" "BRLGSup" "BRRelForJBandLP" "DWLGSup" "DWFirmEngSup" "GCFirmEngSup" "TotalEnergySup" "UpstreamFloodEvacGC" "TotalFloodRelSharedWater" "GCMinFloodRelReq" "ARMinFloodRelReq" "ControlledFlow" "BRIn" "GCIn"
1980-02-17 2 29 17 1980 2033790.07816003 0 0 0 0 0 62122.3767095761 0 0 0 NA NA 0 0 0 1e+10 176856.99115544 471238.152664118
1980-02-24 2 30 24 1980 1848522.68481153 0 0 0 0 0 50115.9105455329 0 15647.2013236499 0 NA NA 0 0 0 1e+10 487166.739214926 510637.535491867
1980-03-02 3 31 2 1980 1683625.62029932 0 0 0 0 0 22944.727445298 0 26042.5286234277 0 NA NA 0 0 0 1e+10 477091.7535601 638630.224148305
1980-03-09 3 32 9 1980 1622488.33716974 0 285224.843784779 285224.843784779 285224.843784779 0 33479.108770347 0 4663.1538777748 0 NA NA 0 0 0 1e+10 332871.865146559 776512.84378478
1980-03-16 3 33 16 1980 1590721.85110397 0 218989.755501751 218989.755501751 218989.755501751 0 43855.077256717 0 7383.10093101503 0 NA NA 0 0 0 1e+10 331256.684262209 667237.755501751
1980-03-23 3 34 23 1980 1537558.05006499 0 202560.909177443 202560.909177443 202560.909177443 0 43221.930970392 0 9311.40810230856 0 NA NA 0 0 0 1e+10 331421.797517221 644859.909177443
1980-03-30 3 35 30 1980 1435189.72309782 0 60437 60437 60437 0 42491.18034626 0 9884.72924671307 41200.2073846049 NA NA 0 0 0 1e+10 271321.903849358 664634.615675333
1980-04-06 4 36 6 1980 1640872.33191749 0 348 348 348 0 56536.772509271 0 0 121918.486807761 NA NA 0 0 0 1e+10 319668.175611777 575690.538614455
1980-04-13 4 37 13 1980 1663784.06712825 0 0 0 0 59373.9195543926 54810.118968497 0 0 136743.354205662 NA NA 0 0 0 369924.21354165 347648.468222363 564273.880207153
1980-04-20 4 38 20 1980 1184451.46860409 0 0 0 0 68578.9034652712 52946.122960294 399040.693282185 0 183136.676311383 NA NA 0 0 0 369924.21354165 314923.40597666 551804.039459845
1980-04-27 4 39 27 1980 1074039.89502512 0 0 0 0 77783.8873761497 44854.888278177 0 0 5699.38504347797 NA NA 0 0 0 369924.21354165 372694.965930443 929441.351725167
1980-05-04 5 40 4 1980 238019.901223235 0 3978100 3978100 0 0 13057.1253165581 0 0 0 NA NA 3978100 1106477.50087327 0 376007.225341344 659071.715018946 2563698.02376892
1980-05-11 5 41 11 1980 309107.292330983 0 3978100 3978100 0 0 47771.673169381 0 0 0 NA NA 3978100 261180.772034154 0 378282.447882637 383573.443556326 3106733.76488458
1980-05-18 5 42 18 1980 381834.565058255 639952.564196141 3429412.00843554 3429412.00843554 0 73257.7371210987 54121.8239051461 0 0 0 NA NA 3429412.00843554 0 0 396450.940117514 437587.02827382 2725429.32506166
1980-05-25 5 43 25 1980 760528.191702699 0 1898689.09074335 1898689.09074335 0 208570 50661.508279717 0 0 0 NA NA 1531990.62985095 1368413.86680954 0 407983.260411969 191503.079533795 1415720.76788612
1980-06-01 6 44 1 1980 812615.644462452 0 55029.8171853516 0 0 171598 72314.770114415 0 0 588.227640140326 NA NA 0 0 0 394367.725421468 409183.67948769 1835854.12163664
1980-06-08 6 45 8 1980 347125.065058255 0 125929.755859219 57062 0 51644.9369913364 86534.931801111 3.64029272477431e-10 0 0 NA NA 57062 57062 0 422728.584751185 518184.751685779 1487852.27934725
1980-06-15 6 46 15 1980 625853.147071076 0 169753.423503716 38041 38041 92656 69486.799939396 0 0 0 NA NA 1.86264514923096e-09 1.86264514923096e-09 0 441428.47518113 325185.829140027 1054961.52140623
1980-06-22 6 47 22 1980 414916.901987016 0 64217.1520395401 19021 19021 53185 71653.090066316 0 0 0 NA NA 0 0 0 458647.077741108 188839.626338284 1177878.73594988
1980-06-29 6 48 29 1980 284182.537744657 0 14836.8177446572 0 0 0 73921.337228268 0 0 0 NA NA 0 0 0 484119.076072062 -30386.0109141724 850718.266225598
1980-07-06 7 49 6 1980 567660.302073416 0 132448.282073416 0 0 0 59402.015373047 0 0 0 NA NA 0 0 0 522598.198172764 -50463.2157025181 880740.867761846
1980-07-13 7 50 13 1980 339549.830976001 0 99137.33539426 71788 0 0 52276.690073576 0 171.923015751021 0 NA NA 0 0 0 590518.16210643 -83583.229781526 743985.105160629
1980-07-20 7 51 20 1980 392815.084057116 0 185546.836412232 175387 0 0 59803.84489821 0 0 0 NA NA 0 0 0 602671.576553309 -131208.542404544 1052482.31597127
1980-07-27 7 52 27 1980 848009.828861199 0 278985 278985 157767.894450141 0 63617.974372703 0 3106.58295185564 0 NA NA 0 0 0 588412.704998225 -159688.587589159 664805.640211037
1980-08-03 8 1 3 1980 1272361.97758816 0 210759 0 0 0 70965.102549919 0 NA 0 NA NA 0 0 0 10000063574.5818 -126556.923416994 537313.622143482
1980-08-10 8 2 10 1980 1356177.72030587 0 92305.3577365372 0 0 0 79738.5932867948 0 NA 0 NA NA 0 0 0 10000049968.0249 -54907.1732894785 447997.738682379
1980-08-17 8 3 17 1980 979235.012060054 0 0 0 0 0 90030.2936779748 0 NA 0 NA NA 0 0 0 10000048231.5175 -38907.0563363566 539337.368766614
1980-08-24 8 4 24 1980 1180326.72287871 0 5738 0 0 0 87734.3907586757 0 NA 0 NA NA 0 0 0 10000046937.5823 -34307.9500236907 747259.944873862
1980-08-31 8 5 31 1980 1134007.07413327 0 11477 0 0 0 96309.73851432 0 NA 0 NA NA 0 0 0 10000041718.9328 11127.87779531 647664.327712694
1980-09-07 9 6 7 1980 1052786.2223765 0 87394 0 0 0 128940.469294723 0 NA 0 NA NA 0 0 0 10000036500.2114 61961.387004119 570939.265885598
