"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "FLAPO" "ALBEN" "CHELA" "JLAKE" "PALIS" "IPARK" "RIRDM" "AMERI" "MINAD" "BOISE" "PAYHS" "OWYHE" "PELTO"
2003-12-07 12 19 7 2003 17402934.7480715 5278181.37542598 730400.573466146 817000 4740955 2423590 8628571 2219460 1309600.02999384 1682010.32368413 499048 1480467 150736.111934 363965.470084626 51050.6772220756 12573.7334060833 190382.480157007 95180 567777.506142419 547162.883762028 375746.633858791 554670
2003-12-14 12 20 14 2003 17176783.916611 4646055.93147624 714682.350556053 817000 4434658 2309751 8657143 2213560 1315344 1688080.30294545 499048 1470073 156291.281932706 384226.462205066 56379.1219849936 12837.7133206166 238908.26901508 95180 585090.737707384 561673.612170466 376150.875695349 552898.436216053
2003-12-21 12 21 21 2003 16910226.0729579 4069220.22774342 681001.048868799 817000 4221444.52363321 2195911 8685714 2207659 1301510 1693780.96398602 499048 1459680 161779.863197567 401283.558594994 61572.2514098788 13173.3062622589 271773.294857872 94648.868850602 598825.755478701 566986.075524723 376394.931875889 551179
2003-12-28 12 22 28 2003 16494189.5808727 4e+06 583208.687946707 817000 3848763.61907739 2083480 8714286 2201758 1287675 1699492.94847179 499048 1449287 167210.199325997 418011.440210007 66670.7983343186 13780.6795681071 307258.373005781 95180 610151.801596906 569827.053654751 376522.364455564 533044.216743793
2004-01-04 1 23 4 2004 16054148.7235555 4482407.89946449 473403.250255654 810693 3818266.4926964 2041067.80889136 7450294 2107940 1255979 1657718 499048 1438893 172279.625203003 434184.462102403 71576.0083132239 14837.9082134607 339661.984549366 95180 619627.228799886 574152.508708176 376571.54543042 514623.572751397
2004-01-11 1 24 11 2004 15631297.7589521 4512824 380910.63913519 804386 3755726.61395827 1933383.1073211 7450294 2107940 1224283 1598571 499048 1428500 177067.422977591 450439.712507095 76333.8958163702 16049.7502836073 370870.966374031 95180 631186.739378762 580660.006008596 376592.651132516 501633.691190313
2004-01-18 1 25 18 2004 15367993.8492039 4109505 355663.312637154 779185 3722462.42603663 1869063.51883384 7450294 2107940 1192587 1539424 499048 1418107 181746.329458615 466762.483020663 81053.3416551608 16752.3244835999 402045.357629052 95180 644036.785989624 587297.773882406 376627.30875136 502292.259408798
2004-01-25 1 26 25 2004 15087758.0802536 3706187 323089.840687844 741641 3685769.78421346 1795110.20774602 7450294 2107940 1160891 1480277 499048 1407713 186342.39316796 482457.069214265 85714.2760786832 17158.875308568 432787.459720626 95180 653501.562204441 593226.386602577 376650.633719911 494199.92801956
2004-02-01 2 27 1 2004 14805211.1136303 3302868 289081.312986549 704096 3648625.9098261 1718642.66131076 7450294 2107940 1129195 1421130 499048 1397320 190954.932727587 497413.872167098 90349.7057557956 17519.2704375016 463062.070592274 95180 663229.36148511 599619.563274418 376709.157092993 526285.454062022
2004-02-08 2 28 8 2004 14613238.9319763 2456824.91942228 283899.348817784 670000 3622405.27414725 1678580.65246564 7164902.85974417 2112461.10206106 1120553.46526384 1297560 550065.098502531 1386927 195907.360723479 510728.317908129 94975.8187233188 18186.4850013345 494409.630516698 95180 671299.360415195 601366.83670754 376806.579733204 512654.504062689
