"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit" "Total_ORCEnergyContent"
1985-05-19 5 42 19 1985 3542822.18167812 NA 0 3017519.46475333 1390048.79289239 333215.863246668 2149653.43854345
1985-05-26 5 43 26 1985 4699221.46835595 NA 0 2462723.0204127 321681.715596902 888012.307587297 1125539.30280317
1985-06-02 6 44 2 1985 7002360.80983648 NA 0 2308263.37468864 171684.738704387 1042471.95331136 977965.10311254
1985-06-09 6 45 9 1985 7979616.52129072 NA 0 2317186.94046465 9224.13284372868 832575.411535348 649109.221176199
1985-06-16 6 46 16 1985 8686581.74169148 NA 0 2831460.16814707 340573.884835006 318302.183852925 829338.59914522
1985-06-23 6 47 23 1985 14207052.7477853 NA 0 2380528.92462536 0 769233.427374636 184078.527942692
1985-06-30 6 48 30 1985 5873942.03133492 NA 0 2593347.46821228 0 556414.883787721 0
1985-07-07 7 49 7 1985 23808331.4267466 NA 308589.072078193 1745695.48792181 0 898880 0
1985-07-14 7 50 14 1985 16650618.8988896 NA 204435.261465165 1849849.29853484 0 898880 0
1985-07-21 7 51 21 1985 6513622.60569703 NA 40836.2905680719 2013448.26943193 0 898880 0
1985-07-28 7 52 28 1985 5743026.44329543 NA 551545.449644793 1502739.11035521 0 898880 0
1985-08-04 8 1 4 1985 3773838.04869409 NA 0 2019145.21599022 0 808321.488009777 0
1985-08-11 8 2 11 1985 5248655.48530685 NA 317480.5039743 1605806.2000257 0 904180 0
1985-08-18 8 3 18 1985 1289494.23202783 NA 0 1987065.18040263 0 840401.523597374 0
1985-08-25 8 4 25 1985 1627594.24831365 NA 0 1961725.53420342 0 824060.033796576 16281.1222924162
1985-09-01 9 5 1 1985 1736959.04306051 NA 0 1907660.27022356 0 878125.297776437 60680.7747269125
1985-09-08 9 6 8 1985 1799040.92124867 NA 713667.802472161 1027015.82952784 29486.0302093141 988980 315629.051702621
1985-09-15 9 7 15 1985 1728598.77111013 NA 308858.303453293 1431825.32854671 119794.914495111 988980 364652.710491087
1985-09-22 9 8 22 1985 2003188.62631796 NA 0 1949501.75989028 371621.988319496 780161.872109721 611135.768485346
1985-09-29 9 9 29 1985 2038601.49390107 NA 418083.682789223 1322599.94921078 147983.555793528 988980 641064.895173434
1985-10-06 10 10 6 1985 1938561.04877111 NA 664332.860526468 963216.259473532 67529.1588759654 1125720 357284.364782744
1985-10-13 10 11 13 1985 1850833.83012886 NA 670167.591801495 957381.528198505 82322.3019479462 1125720 456324.253717969
1985-10-20 10 12 20 1985 1879629.98403348 NA 586051.594226982 1041497.52577302 172658.423084425 1125720 555427.864628874
1985-10-27 10 13 27 1985 1987827.71613817 NA 498592.914445477 1128956.20555452 232172.129205713 1125720 655939.753081797
1985-11-03 11 14 3 1985 2004884.57732646 NA 207357.784897427 1420191.33510257 261137.707314421 1203100 651514.591650365
1985-11-10 11 15 10 1985 2504397.86396443 NA 0 2090772.05425452 232354.096835422 1075310.96974548 599790.210044112
1985-11-17 11 16 17 1985 2510793.71047944 NA 443312.61098081 1519670.41301919 100047.167346918 1106640 455118.360218546
1985-11-24 11 17 24 1985 2481548.19959642 NA 840364.82814816 1122618.19585184 51679.4620948811 1106640 345103.178988295
1985-12-01 12 18 1 1985 2346229.38897343 NA 945729.840897544 1017253.18310246 90441.5709195871 998520 467996.82980586
1985-12-08 12 19 8 1985 2478351.35796833 NA 0 2338492.29714961 549430.116886959 946535.734850385 677387.946412352
1985-12-15 12 20 15 1985 2575194.98400631 NA 343888.098356911 1942619.93364309 356485.39250531 998520 578710.589788035
1985-12-22 12 21 22 1985 2633550.93967704 NA 1086125.58967166 1200382.44232834 60565.9288536809 998520 341140.392025517
1985-12-29 12 22 29 1985 2161800.2009558 NA 948606.907217398 1337901.1247826 53273.4672337793 998520 370167.161536855
1986-01-05 1 23 5 1986 2634172.01835298 NA 882654.491527552 1393929.46047245 1042128.21703349 1010180 2142549.52409207
1986-01-12 1 24 12 1986 1484922.4288766 NA 1373215.02823605 903368.923763946 7710.47416299387 1010180 347176.740808623
