"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "FLAPO" "ALBEN" "CHELA" "JLAKE" "PALIS" "IPARK" "RIRDM" "AMERI" "MINAD" "BOISE" "PAYHS" "OWYHE" "PELTO"
2001-06-10 6 45 10 2001 16365764.9353964 4333281.2767073 770084.273951552 392471 3624276.18464183 2670726.77723565 6694675.1333494 3093790.92027541 1287873 1511765 1540000 1512500 536003.781387637 1231460.68226036 129555.186881641 61968.3346571991 1519281.45305884 95180 971829.06058394 779107.993594885 391318.600145944 558270
2001-06-17 6 46 17 2001 17103963.6896221 5047395.27216488 878024.849580733 417612 4224699.25039084 2740834.8567839 7650245.63633291 3163593.53180622 1327344 1549734.17866888 1540000 1545200 511975.42926386 1176255.90213113 123747.396418308 59190.3748416687 1366742.32711231 95180 976163.523717192 790001.991985962 391715.712686625 558270
2001-06-24 6 47 24 2001 17969269.8118708 5478458.80282545 1008156 442753 4851072.24005677 2853245.12803799 7927318 3249580.9489583 1366815 1639460.07984696 1540000 1577900 485575.179019029 1115601.72149424 117366.304580977 56138.1957358232 1221291.22294844 95180 985969.00645889 775889.861289427 391920.19962598 548305.102115403
2001-07-01 7 48 1 2001 18775222.8887729 6539435.02637392 1097859 467894 5637161.42861978 3050800.27031324 9107400 3468000 1420000 1792000 1540000 1610600 470896.658822515 1081878.0405736 113818.422097234 54441.1863426149 1126671.27654898 95180 1001814.09860667 772390.021124195 398777.491292168 558270
2001-07-08 7 49 8 2001 19696422.6544263 6799580.52373738 1219589.48682904 493035 5869400 3053069 9107400 3353678 1420000 1792000 1540000 1626950 445799.383394298 1024217.42511731 107752.266743059 51539.6464342706 973875.60278576 95180 1011000 754567.88416235 400538.08128313 558270
2001-07-15 7 50 15 2001 20075000 7255512 1324355.33452846 518176 5869400 3034638 9107400 3239356 1420000 1792000 1540000 1643300 413555.956049331 950138.632363556 99958.8455015754 47811.9274039398 734499.431917636 95180 971347.45385205 744400.717992499 400587.227771109 558270
2001-07-22 7 51 22 2001 20075000 7291406 1393730.30449564 543318 5869400 3016208 9026223 3125033 1420000 1792000 1540000 1659650 364177.19517392 836691.666748162 88023.7159085786 42103.162493805 479274.936148333 95180 913297.130428897 723755.937456974 399599.287022045 558270
2001-07-29 7 52 29 2001 20075000 7327300 1424900 568459 5869400 2997777 8873258 3010711 1330368.58166502 1792000 1540000 1675704.45628295 321753.549979695 739223.97553225 77769.6776495399 37198.4906723337 283639.404176463 95180 847151.498334582 691616.987254143 399372.633902163 551693.555446108
2001-08-05 8 1 5 2001 20009803.7457819 7300945.92713535 1415246.50582313 593600 5770433 2891308 8688922 2896389 1254820.01889899 1792000 1540000 1668917 290391.089169685 667169.190234889 70189.191070154 33572.6217239531 52749.1571118768 95180 771875.493203043 668123.565051559 396802.252322916 549253.836452371
2001-08-12 8 2 12 2001 19814306 7221921 1386299 638280 5671467 2855269 8549430 2782067 1029964.84774758 1792000 1540000 1661833 264399.942340938 607454.91858629 63906.9818738886 30567.7397795786 0 95180 736260.297085626 651981.389594817 392017.910229474 541895.580802191
2001-08-19 8 3 19 2001 19986304.4745483 7327300 1374864.01698021 682960 5572500 2819231 8409937 2667744 854059.164646241 1792000 1540000 1654750 242827.312282287 557892.123224285 58692.7535123991 28073.6902871485 0 95180 702773.81521302 636849.247975446 390037.413983873 542834.750299117
2001-08-26 8 4 26 2001 20073116 7321562 1423330 727640 5473533 2783192 8270445 2553422 1043628.37793008 1792000 1540000 1647667 237699.447984408 546110.931587061 57453.3193134546 27480.8489268413 0 95180 697139.999199128 634811.50720839 399636.82779003 558270
