"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit" "Total_ORCEnergyContent"
1952-08-10 8 2 10 1952 6922122.3355334 NA 0 2185389.07799964 0 642077.626000358 0
1952-08-17 8 3 17 1952 1334625.72552548 NA 0 2369082.28676861 0 458384.417231385 0
1952-08-24 8 4 24 1952 1588152.12487152 NA 0 2033217.54872661 0 752568.019273387 16300.0472611534
1952-08-31 8 5 31 1952 2735462.76295302 NA 0 2275715.62783429 0 510069.940165708 60766.8523772342
1952-09-07 9 6 7 1952 1804448.89625689 NA 43588.2199526522 1697095.41204735 131381.116507912 988980 318968.175148596
1952-09-14 9 7 14 1952 1971105.42807697 NA 0 2400404.13121044 316080.351059415 329259.500789562 511036.297108286
1952-09-21 9 8 21 1952 2230268.20420329 NA 0 1981660.04349055 560184.127015725 748003.588509454 795660.087769364
1952-09-28 9 9 28 1952 2138907.93772904 NA 671479.19292163 1069204.43907837 165571.534664903 988980 729789.926435529
1952-10-05 10 10 5 1952 2220797.34051 NA 797515.067301034 830034.052698966 117266.400913203 1125720 603241.333499962
1952-10-12 10 11 12 1952 2055015.88235602 NA 699259.553334704 928289.566665297 104130.076553534 1125720 412326.80482019
1952-10-19 10 12 19 1952 1911593.6422436 NA 782141.771407325 845407.348592675 61615.0747042203 1125720 378635.206905461
1952-10-26 10 13 26 1952 1678256.71279458 NA 741595.916600247 885953.203399754 41852.3018424961 1125720 335949.767315664
1952-11-02 11 14 2 1952 1591745.88098605 NA 792606.603703441 834942.516296559 40591.2190861515 1203100 385376.258025531
1952-11-09 11 15 9 1952 1724099.76221328 NA 296763.901436168 1666219.12256383 54854.6847236112 1203100 219846.209212683
1952-11-16 11 16 16 1952 1960579.64092674 NA 869877.318466901 1093105.7055331 72627.1045202225 1106640 416365.185385172
1952-11-23 11 17 23 1952 1906204.98171589 NA 867625.828540064 1095357.19545994 82160.6752731721 1106640 447772.299103794
