"date" "month" "week" "day" "year" "TotalFloodSpace" "TotalRelReducReq" "TotalMcNarySharedWater" "TotalBONSharedWater" "GCSupForVernitaBar" "BRLGSup" "BRRelForJBandLP" "DWLGSup" "DWFirmEngSup" "GCFirmEngSup" "TotalEnergySup" "UpstreamFloodEvacGC" "TotalFloodRelSharedWater" "GCMinFloodRelReq" "ARMinFloodRelReq" "ControlledFlow" "BRIn" "GCIn"
1995-04-30 4 39 30 1995 3356940.71486278 0 87866.8000000003 87866.8000000003 0 0 41728.092368689 0 NA 0 NA NA 87866.8000000003 0 87866.8000000003 411926.575694597 429031.168713258 2112427.16073156
1995-05-07 5 40 7 1995 1469159.59465578 0 2508454.31518276 2508454.31518276 80292.3755568499 0 32765.238967525 0 NA 0 NA NA 1861643.19493765 1020281.93099952 24882.5700766038 412656.890931387 114519.87893566 2777281.01518276
1995-05-14 5 41 14 1995 1623612.5157355 0 2139282.23603534 2139282.23603534 367573.458824231 99993.6131490227 43584.495466128 89276.7366373043 NA 0 NA NA 1353812.4422594 788642.233808544 29660.0122024044 422330.049408274 484112.732439849 1654614.47209721
1995-05-21 5 42 21 1995 1719770.48351452 0 911381.759671841 911381.759671841 830305.797358926 99001.8508485914 52411.573849371 125530.447908409 NA 0 NA NA 0 0 0 421875.56974207 76594.821518898 923814.184254105
1995-05-28 5 43 28 1995 1202569.98638503 0 415436.724855262 415436.724855262 355616.224855264 0 60940.7728785123 0 NA 0 NA NA 0 0 0 421804.933373572 -36847.9815808727 1524731.62353692
1995-06-04 6 44 4 1995 1083649.20158502 0 296515.940055247 296515.940055247 236695.440055245 16998.9281967494 62635.42410232 0 NA 0 NA NA 9.31322574615479e-10 9.31322574615479e-10 0 433377.5189852 208154.728602051 1329308.44896695
1995-06-11 6 45 11 1995 1773064.69309796 0 1285388.52974846 1285388.52974846 541987.007333971 0 46454.116605144 0 NA 0 NA NA 478833.652203044 317622.455920123 161211.19628292 443873.176414367 92568.6679467578 1857262.22896133
1995-06-18 6 46 18 1995 2215145.84299448 0 1127941.98146472 1127941.98146472 733341.381464728 0 66434.343008019 0 NA 0 NA NA 0 0 0 452452.539645358 -160331.285925299 1370713.7226469
1995-06-25 6 47 25 1995 2077282.73529065 0 1021071.99851171 861945.486074332 408207.25100969 0 63843.0219601131 0 NA 0 NA NA 0 0 0 462360.651153342 -38616.9838468115 1519499.8804795
1995-07-02 7 48 2 1995 1353332.43954798 0 544812.070482596 394600.599999989 0 0 66324.7281175692 0 NA 0 NA NA 0 0 0 486223.280847619 -124407.825276414 2032432.45100926
1995-07-09 7 49 9 1995 208053.700066288 0 670990.662970195 161768.60861324 0 0 66301.449763782 0 NA 0 NA NA 161768.60861324 0 161768.60861324 588992.284971188 -168860.657945193 1766294.00687154
1995-07-16 7 50 16 1995 439923.789136242 0 537400.12534434 71788 0 0 66278.172807347 0 NA 0 NA NA 54341.4965834646 0 54341.4965834646 639558.961755892 -157594.897004067 1678221.56365895
1995-07-23 7 51 23 1995 617691.766207298 0 389082.290123335 152965 0 0 70963.978942569 0 NA 0 NA NA 57830.1535734739 44260.0196711682 13570.1339023057 652000.507323256 -238512.610402431 1683125.76034564
1995-07-30 7 52 30 1995 290911.074839267 0 234142 234142 0 0 71483.859200308 0 NA 0 NA NA 0 0 0 642652.560935868 -152373.202770169 1414936.99677727
1995-08-06 8 1 6 1995 785704.232738042 0 809348 0 0 0 136673.42247407 0 NA 0 NA NA 189481.558746062 0 0 10000081114.8027 -24757.3228316528 1796494.61917841
1995-08-13 8 2 13 1995 1898516.18692837 0 404674 0 0 0 130653.766035225 0 NA 0 NA NA 0 0 0 10000064772.0223 -47345.6000166629 1191202.6769232
1995-08-20 8 3 20 1995 1310645.74421801 0 0 0 0 0 126390.838640219 0 NA 0 NA NA 0 0 0 10000056012.4608 -85435.8014716743 778321.676142042
1995-08-27 8 4 27 1995 1110672.50325206 0 9192 0 0 0 27012.3428981173 0 NA 0 NA NA 0 0 0 10000054676.0015 -53746.8653537947 904771.093511016
1995-09-03 9 5 3 1995 1329712.08356294 0 18387 0 0 0 0 0 NA 0 NA NA 2.79396772384644e-09 0 0 10000048986.4319 -22308.26460762 740155.752602058
1995-09-10 9 6 10 1995 1803404.04951837 0 131466.717688004 0 0 0 0 0 NA 0 NA NA 9.31322574615479e-10 0 0 10000044680.0828 866.958856318066 477404.108914278
1995-09-17 9 7 17 1995 2050004.7906393 0 163311 0 0 0 0 0 NA 0 NA NA 0 0 0 10000045580.6576 57656.8375838598 405000.480301964
1995-09-24 9 8 24 1995 2144704.63736248 0 239229 0 0 0 96601.679133737 0 NA 0 NA NA 0 0 0 10000046481.2325 109402.475886081 567063.241171933
1995-10-01 10 9 1 1995 1843543.93598927 0 315146 0 0 0 113748.239217386 0 NA 0 NA NA 0 0 0 10000047381.7797 82686.0627772993 271496.9525101
1995-10-08 10 10 8 1995 2111351.2795421 0 363841.464915123 0 0 0 76360.1413229819 0 NA 0 NA NA 0 0 0 10000048400.0023 60289.5106729677 433214.619219604
1995-10-15 10 11 15 1995 2186279.48877686 0 485585.289193463 0 0 0 78598.1782241742 0 NA 0 NA NA 0 0 0 10000049725.1788 60890.276439541 320792.775695554
1995-10-22 10 12 22 1995 2147732.61576168 0 370833.197149 0 0 0 76656.830357919 0 NA 0 NA NA 0 0 0 10000051050.3161 176779.196658699 332250.200644688
