"Week" "Month" "Day" "Year" "ALBEN" "ARROW" "BONFE" "BONNE" "BOUND" "BROWN" "CABIN" "CHIEF" "COLFA" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "JDAYY" "LIBBY" "LGOOS" "LGRAN" "LMONU" "MCNAR" "MICAA" "NOXON" "OXBOW" "PALIS" "PRIRA" "REVEL" "RISLA" "ROCKY" "WANAP" "WELLS" "LUCKY" "AMERI" "MINAD" "THOMF" "CHELA" "BOXCA" "JLAKE" "IPARK" "RIRDM" "PAYHS" "MILNE" "OWYHE" "PELTO" "BoiseSys" "Minidoka" "Owyhee" "UpSnake" "Payette" "SNKHE" "HFORK" "LIMEP"
3 8 21 1977 139.294509267303 5.31496970839647 33.7817766763499 5136.4439435176 10.0664647076754 240592.33734489 0 280.447971324574 0 1037.1523458389 2443.56036847334 0 0 2151.98198184999 0 92386.2766957017 3772.98122582705 1944.66573304871 28591.45352242 134.660058949471 14.7877932874196 22554.5031674736 2894.37467315782 53375.9546643327 0 0 0 5738.79335909596 1622.92541557175 0 2293.46168702263 2335.40575264085 587.903722037697 7795.91053718993 55.3317706006069 115408.259106433 25375.8209710867 34420.9271425425 55.5285249334534 0 0 0 1548.51158384973 494.517124070671 38386.1003346924 6590.03485708606 13465.0262813888 38861.7673441 150493.762455487 21742.6177795674 88917.6715831239 17632.7438151476 2953.50276165753 25085.5963455011 9757.3596590971
4 8 28 1977 423.989216881949 144.98198582887 58.6861618743177 7234.682805478 10.0664647076754 242797.533629352 0 308.479931923923 0 1297.41983425106 5201.32619156071 0 0 3158.39926924867 0 83588.4235029795 1299.2251852431 2553.52265153082 22897.7882332496 520.071686932449 100.466537454036 25738.8540991709 1603.38702558468 46101.7929096239 26.3462839182584 0 0 4109.40137443025 1403.25832968182 0 2394.64994579589 688.584554210107 544.504762120342 6253.17233602307 1408.60278442045 103625.968152864 19596.8688377805 28366.2675535993 328.493116023095 0 0 0 1057.50266975824 726.660691052805 22026.6330786161 2843.494595611 11976.7458231018 37550.005206502 104943.145745789 17879.913974671 79978.1385980151 18952.1198606348 1813.72712111942 22891.605103488 13993.3384312523
5 9 4 1977 133.660212991579 66.9984621074793 33.7817766763499 4075.15190349006 7.61482194961193 181710.903927038 0 295.204138035907 0 1256.60755000384 3439.98059300255 0 0 3406.4038116447 0 78015.8178925818 1888.19488316873 1385.98857081528 20794.0033570704 411.994476455553 10.8099731569757 23734.2130925216 1941.24813788827 42707.0285848155 0 0 0 1621.32305867897 1894.06647001305 0 1506.4391547327 2817.18535336597 1143.25189542098 8410.46916490445 898.409022810984 68904.1970014376 6472.5555747373 24611.6880913828 430.585875393319 0 0 0 529.646451546705 963.306089599082 8371.09234902013 3814.99532578651 10372.3364684254 32663.1202685834 66611.2856803078 6260.85401390715 50186.4045254589 11258.4577645786 2253.43452858563 16994.0043989399 13053.9341681266
6 9 11 1977 112.61685265207 5.00007938365551 30.7961590185233 6929.41229929474 7.61482194961193 120147.439726012 0 160.420575034823 0 437.395154791646 4001.16504288537 0 0 2196.99165291927 0 40846.8306245936 1871.88706795968 874.095075544276 14847.4517684664 122.110507161575 10.8099731569757 21733.3061589448 1652.36999241996 30670.7835398561 0 0 0 4118.07965505485 1232.45818465306 0 2064.98908151422 948.050576445337 384.779997834651 3412.86081414843 1175.88948523101 29908.9273272306 7727.38816592755 22070.9621147248 4.66660373114795 0 0 0 1423.50083480131 229.599417369266 12721.5233631881 4472.57577000968 2832.91008771097 20235.3404555491 67478.0507450698 5590.37797633167 17671.2901363159 7296.72978099015 1855.85799239556 11805.2800333205 11136.6197266759
7 9 18 1977 112.61685265207 0 0 1333.67801424984 7.61482194961193 81563.3032886477 0 205.779082056313 0 0 1199.71985113202 0 0 0 0 28873.9375556553 54.8410833151124 1017.55848829394 9091.93649902343 0 89.9406277691351 6867.31276679252 1301.19198178001 17166.5381686116 0 0 0 379.171378560856 1021.00067709971 0 1052.5644477254 916.954095427637 208.940726664433 2968.44480204604 0 16760.2965757122 6994.40009174322 309.580748644167 4.59665135131866 0 0 0 363.465297323964 96.2269734718073 11006.4046536588 1726.77538347367 1909.69831724276 15093.4526492155 46670.8453974376 6862.5992606481 9724.39963792144 7512.03218343441 1188.37292437608 6210.98931073869 4899.57539820431
8 9 25 1977 112.61685265207 0 0 412.193819399452 7.61482194961193 85262.4130260805 0 290.782992964323 0 0 1807.36756705275 0 0 0 0 21371.2145405022 145.271013729819 369.470069917422 5638.5868876725 0 10.8099731569757 5059.96673541921 931.643692999327 24291.3963641093 0 0 0 1963.57310001924 525.177429850913 0 938.061598660474 374.106693360613 290.730968891931 1628.78965422779 0 21497.8330630283 6704.54177691826 2262.6066504715 29.8457004379831 0 0 0 781.816478694954 249.286802822009 8297.74624188096 1534.21781826658 1225.40170377774 15610.7434582191 48482.6254295168 5068.32817519331 15742.3245700873 6149.09248042134 1212.16459203046 5325.16037960554 3646.77885115699
9 10 2 1977 55.7666362322324 0 0 1268.71041271583 3.46924973569725 119359.684974444 0 149.185082396735 0 0 2986.17731783803 0 0 338.366328625081 0 32863.3011015216 200.112097044931 150.449210785577 6876.00300004053 0 4.23513418713859 8444.83133152856 2041.53908505009 26115.1228883518 0 0 0 1785.24868727063 690.785847491422 0 748.775448867364 1000.3432520774 145.469880328063 2357.22461644126 4.97612048376279 20106.3723466452 7580.45641878813 3917.10409784372 357.627912043122 0 0 0 0 285.19667712063 10536.8004315445 1954.40713605583 4671.20424256234 23719.5532164799 48234.1026323186 8498.59448683494 11640.3585599728 13892.6953152409 1055.69715519453 7410.31663147788 5330.49980111133
10 10 9 1977 55.7666362322324 0 0 2805.74258983842 3.46924973569725 55845.911931718 0 72.0585240480086 0 105.823534598358 3348.44618074436 0 0 105.979136779193 0 25496.8561495298 102.736204584862 42.007689091877 2596.39692782073 0 4.23513418713859 2227.44659947985 536.243140316631 19044.4626891022 0 0 0 1484.87795654897 673.564156856686 0 931.422478035069 679.194054938929 136.619376675893 2192.63834418109 0 13667.9811861023 5318.86084391075 1347.1960937912 25.1226026153509 0 0 0 562.991948541898 0 4529.38252672205 1663.67030963811 3904.70334770136 14566.5492227225 22672.2324484953 3836.88631892764 11310.4514360237 4801.39510068913 113.129751254181 2807.39194736626 547.788284326691
11 10 16 1977 55.7666362322324 0 0 1060.41042672052 3.46924973569725 81770.5936554142 0 52.0408337934039 0 218.776435171746 1805.58882440408 0 0 0 0 26592.2518448531 978.934295290892 599.888398835695 3800.510158423 0 4.23513418713859 4299.27083828718 1100.81235390649 13719.4230720758 0 0 0 0 1181.02133375864 0 675.387105571812 479.346059473871 687.683398251115 1791.13405722766 481.839383704007 14394.2378797039 7062.04790019235 0 0 0 0 0 15.164806956324 0 9954.62770745694 2005.24573842684 2201.92229381116 12378.359218313 41916.2489725198 5274.55431864177 13915.8267749028 7387.00076707654 0 493.575911757455 544.348057665024
12 10 23 1977 55.7666362322324 0 0 1408.57837741768 3.46924973569725 70870.053909768 0 104.381357076089 0 194.876748887941 799.738273208061 0 0 22.6004624731266 0 23081.9831402541 168.600723594747 69.0667993501095 2578.54275136144 0 4.23513418713859 3661.73905037506 830.389916358545 10467.690238734 0 0 0 0 559.147243086989 0 864.437819443188 717.241428426628 146.344004030692 2016.84500839535 0 9855.89069188727 6255.73979334412 0 58.5334143704389 0 0 0 0 0 9070.36099032753 1134.33033758958 2429.83747369964 13182.3198170038 31110.4980068902 4293.13794291082 9469.14855870507 8729.5184103957 68.3134415162354 318.428691665966 303.036217372299
13 10 30 1977 55.7666362322324 0 0 3052.21954339917 3.46924973569725 70104.9914559505 0 49.7426207845618 0 167.682644852473 1132.48977581249 0 0 0 0 12344.6609875586 122.691841200612 1019.93989250275 3999.1494297597 0 4.23513418713859 5884.33887348658 485.719164988297 14744.9262352451 0 0 0 0 774.828760815788 0 465.37988823931 216.875890164986 192.493302792146 1048.82220353224 0 20537.0638119656 7511.43113260656 0 25.2225362938679 0 0 0 0 103.082904032237 10941.1983217957 2041.39684974585 3860.62848345096 11334.5756767739 40077.7142656605 4179.91866141357 20186.5322681531 4229.37734166966 0 350.531543812478 357.665731594199
14 11 6 1977 43.7135645758341 0 0 58.0977145019374 1.83683883608514 12147.4044749579 0 1.96841676155451 0 18.2892194846536 3.36097628051987 0 0 0 0 1878.84894131019 0 33.3392721926627 274.209678943709 0 1.38770351618956 1412.54259160149 73.285286928388 1321.8326997051 0 0 0 0 261.49395107676 0 111.638548055445 24.3493653803123 150.51187630356 624.006674661817 0 2347.09900378366 914.562568375055 0 0 0 0 0 148.511205598807 0 984.858602034207 123.416974711484 139.580790725222 1758.88310677446 7509.77614465779 44.973068416593 2418.29145008583 1017.60810604146 15.5602901804387 61.7584691161977 25.4184375261676
15 11 13 1977 43.7135645758341 0 0 31.0483944484799 1.83683883608514 0 0 1.96841676155451 0 0 3.36097628051987 0 0 0 0 708.797206038255 0 4.5743047766738 57.8266865045689 0 1.38770351618956 4.2057448797743 73.285286928388 742.7887961901 0 0 0 0 70.1982344235928 0 111.638548055445 14.9241966932515 80.9454987445551 38.7869698573712 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16 11 20 1977 43.7135645758341 0 0 31.0483944484799 1.83683883608514 0 0 1.96841676155451 0 0 3.36097628051987 0 0 0 0 708.797206038255 0 4.5743047766738 57.8266865045689 0 1.38770351618956 4.2057448797743 73.285286928388 742.7887961901 0 0 0 0 70.1982344235928 0 111.638548055445 14.9241966932515 80.9454987445551 38.7869698573712 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17 11 27 1977 43.7135645758341 0 0 31.0483944484799 1.83683883608514 0 0 1.96841676155451 0 0 3.36097628051987 0 0 0 0 708.797206038255 0 4.5743047766738 57.8266865045689 0 1.38770351618956 4.2057448797743 73.285286928388 742.7887961901 0 0 0 0 70.1982344235928 0 111.638548055445 14.9241966932515 80.9454987445551 38.7869698573712 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18 12 4 1977 39.7348432250073 0 0 30.6875763735336 1.84568003480465 0 0 1.59824769425151 0 0 3.16501468526003 0 0 0 0 650.997468988126 0 4.57334954222167 49.7064808966956 0 1.20090850509341 3.70208916565073 60.4617118521063 695.587323343372 0 0 0 0 66.2018087066199 0 112.864123502972 13.2018507181226 76.4465724362034 34.4303509024716 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19 12 11 1977 39.7348432250073 0 0 30.6875763735336 1.84568003480465 0 0 1.59824769425151 0 0 3.16501468526003 0 0 0 0 650.997468988126 0 4.57334954222167 49.7064808966956 0 1.20090850509341 3.70208916565073 60.4617118521063 695.587323343372 0 0 0 0 66.2018087066199 0 112.864123502972 13.2018507181226 76.4465724362034 34.4303509024716 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20 12 18 1977 39.7348432250073 0 0 30.6875763735336 1.84568003480465 0 0 1.59824769425151 0 0 3.16501468526003 0 0 0 0 650.997468988126 0 4.57334954222167 49.7064808966956 0 1.20090850509341 3.70208916565073 60.4617118521063 695.587323343372 0 0 0 0 66.2018087066199 0 112.864123502972 13.2018507181226 76.4465724362034 34.4303509024716 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21 12 25 1977 39.7348432250073 0 0 30.6875763735336 1.84568003480465 0 0 1.59824769425151 0 0 3.16501468526003 0 0 0 0 650.997468988126 0 4.57334954222167 49.7064808966956 0 1.20090850509341 3.70208916565073 60.4617118521063 695.587323343372 0 0 0 0 66.2018087066199 0 112.864123502972 13.2018507181226 76.4465724362034 34.4303509024716 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
22 1 1 1978 36.1394897946041 0 0 25.7402122407283 1.486416116864 0 0 1.57533352839155 0 0 2.61872908363384 0 0 0 0 571.055810807263 0 3.47563172366729 40.7620905466729 0 0.964139814397277 2.94952202257605 49.5430510638311 563.240308071493 0 0 0 0 55.3860419275988 0 89.5885006231687 11.3571916177173 63.6273004045179 31.6066483417552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
23 1 8 1978 36.1394897946041 0 0 25.7402122407283 1.486416116864 0 0 1.57533352839155 0 0 2.61872908363384 0 0 0 0 571.055810807263 0 3.47563172366729 40.7620905466729 0 0.964139814397277 2.94952202257605 49.5430510638311 563.240308071493 0 0 0 0 55.3860419275988 0 89.5885006231687 11.3571916177173 63.6273004045179 31.6066483417552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
24 1 15 1978 36.1394897946041 0 0 25.7402122407283 1.486416116864 0 0 1.57533352839155 0 0 2.61872908363384 0 0 0 0 571.055810807263 0 3.47563172366729 40.7620905466729 0 0.964139814397277 2.94952202257605 49.5430510638311 563.240308071493 0 0 0 0 55.3860419275988 0 89.5885006231687 11.3571916177173 63.6273004045179 31.6066483417552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
