"Week" "Month" "Day" "Year" "ALBEN" "ARROW" "BONFE" "BONNE" "BOUND" "BROWN" "CABIN" "CHIEF" "COLFA" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "JDAYY" "LIBBY" "LGOOS" "LGRAN" "LMONU" "MCNAR" "MICAA" "NOXON" "OXBOW" "PALIS" "PRIRA" "REVEL" "RISLA" "ROCKY" "WANAP" "WELLS" "LUCKY" "AMERI" "MINAD" "THOMF" "CHELA" "BOXCA" "JLAKE" "IPARK" "RIRDM" "PAYHS" "MILNE" "OWYHE" "PELTO" "BoiseSys" "Minidoka" "Owyhee" "UpSnake" "Payette" "SNKHE" "HFORK" "LIMEP"
50 7 16 2017 370.151012814137 144.901445045589 81.4945603244361 5806.63388060888 7.83760613400471 273904.111423197 0 699.57511271219 0 2365.4062605347 7394.14705134471 0 0 2742.8618033693 0 121399.664614349 448.119315359612 3603.36386553367 37841.036550974 439.728703244957 11.2751532234598 24381.3472994053 3826.89063152894 88248.1894977668 42.9267782117497 0 0 10124.0578591644 3686.06732545862 0 2711.22293018185 2003.28450846133 727.543761372496 13037.2201643961 58.1196373245806 173465.685789418 27910.3773006273 33821.3470080965 143.40567868412 0 0 0 3844.34430482422 557.438373496588 46423.0429696928 4941.61869912975 12728.040925726 38696.0161746264 208555.67913879 13264.3401201013 91157.3963023235 11277.0508211243 12982.7038605364 73169.9299313822 9473.86116448071
51 7 23 2017 188.788732169551 199.619891277722 33.7817766763499 7274.15081532959 7.83760613400471 303041.132245551 0 547.168393999259 0 3939.06781103777 9242.67357880333 0 0 5667.5236925277 0 130214.705214483 3409.59100127903 2009.60998803827 39145.1730206215 1061.22814327964 11.2751532234598 32655.3320707495 2204.72266021755 104252.027162785 11.7028415468887 0 0 8569.6291785546 2094.90170578333 0 3124.28035318134 3370.14783103609 1039.96666346281 10205.8557571504 86.1436802154653 168117.380461526 33133.3082533758 48574.0093112207 385.098563307141 0 0 0 1736.6333923976 616.933784860095 42583.0684698179 5643.16675298072 16730.2065050042 48260.3894219787 183409.933157572 26600.4420748567 112259.431348902 21097.2688173798 6135.03629012527 51459.5462148963 14639.8032596178
52 7 30 2017 117.566789153338 154.946314069344 74.7147870894025 9206.10372549166 7.83760613400471 299594.445311285 0 308.737634563655 0 1449.68222791404 2540.70971632034 0 0 4846.26406027478 0 118279.064970379 1879.17390226901 2471.53591064756 29008.9464732179 164.612845628355 11.2751532234598 33177.1743424458 2717.38584756611 70987.1430867126 268.025325451679 0 0 5575.88569421216 1792.15748974228 0 2947.7392320647 2190.20682357466 685.670800153893 12090.5348920716 1411.78621451213 141642.070015428 28764.0180428228 40482.239207405 403.217146256262 0 0 0 1207.08237319797 169.590028944712 32294.4998895413 3983.3915800942 16813.0448571119 49930.7830142253 137382.254356443 19612.8706202746 113807.014272141 26753.8024333619 3420.17074539762 25621.967371087 20864.4494826608
1 8 6 2017 140.750693241683 198.778438217936 0 7785.57504012975 10.0664647076754 199409.617231574 0 305.521305359843 0 630.886988467159 2542.36771825468 0 0 4177.4400433592 0 88313.3488056132 1370.29417624019 1115.77449044068 20306.8563970154 425.667443445978 104.409402113721 30883.2947826478 3206.26554553446 53175.5394216198 29.652721502004 0 0 3449.28376956599 2399.9789937244 0 2283.25452398329 2525.76126374518 563.571182874721 10245.4286557044 1402.63843286673 78959.2074839676 10898.9159138082 31693.551040554 71.2316796885616 0 0 0 2141.06836004628 1068.12399593285 12465.129580391 5256.41559241217 11763.5145859951 25288.4230016508 102417.204582909 9719.04334442769 53518.4563289422 10427.3067665206 4196.48832529286 23385.3311897788 15201.5883514762
2 8 13 2017 128.831878481514 163.163304222357 67.5635533526997 4308.46326413973 10.0664647076754 191123.853956901 0 403.855788690221 0 1348.6018173501 10355.3941713428 0 0 1801.50090621936 0 74813.2582487272 270.86190681562 1821.61457113394 20422.0719497243 362.770649539995 14.7877932874196 25179.1812036228 2830.91166059889 45055.3229662547 0 128.519139357888 0 2790.41619849237 2027.02565356929 0 2695.03897615301 2099.58339541723 643.49948012075 10024.1143012463 495.381631418932 43925.2878020219 12266.5483432051 38147.0493723762 391.535720048273 0 0 0 1075.20392202672 1462.16429764434 18773.5532363531 4218.58447068505 2943.73226431951 40076.3730964808 91398.8188127044 13626.628941399 26301.5984674274 20680.9731853904 1727.52994738051 16971.3633092407 13185.0726450612
3 8 20 2017 128.831878481514 77.2189377582661 33.7817766763499 5359.53378447092 10.0664647076754 229873.726682731 0 393.583355675283 0 1516.38796559516 3733.86125120108 0 0 3412.07493982545 0 93451.3593477338 362.439695505312 461.812440814688 14326.746604606 0 14.7877932874196 27975.1589638609 3374.29004408752 49669.3945280408 0 0 0 9606.49430073689 2110.01907379545 0 2266.06110981894 2262.89858255154 434.463137176094 8061.47968431541 191.594943196907 69821.8863118208 16454.8084832015 33637.3714478742 386.625419997174 0 0 0 1745.80491195926 1236.47308349907 19945.6446614628 3286.74837538581 4192.54330533673 48450.634441345 93802.2442496615 15051.5719321953 57638.4602231169 23966.6644903536 1352.74846478293 12576.4825358802 8557.2676245422
4 8 27 2017 447.699435558084 0 33.7817766763499 3443.58707617425 10.0664647076754 132246.973963009 0 484.644324937743 0 695.043027527445 1887.28388695739 0 0 2684.01707833971 0 47842.1074671633 3373.15539742182 1252.93188352127 5352.35528157333 0 14.7877932874196 19447.2333679929 1438.17337372969 20038.6603939196 0 0 0 7845.44051065288 1901.08417778723 0 2060.62480570394 1397.15109091373 796.075827407548 4087.74815287344 1346.86865380183 67251.7423154449 10857.744026382 18954.7918341706 51.6941918683741 0 0 0 946.307232183162 1116.75462916588 6576.07842553065 3867.82397057339 4249.18082304057 19853.9138373926 58936.3395163843 2717.73810656659 56281.4946618717 9561.65793743943 842.958861372516 11073.5960243839 13389.9592803356
5 9 3 2017 112.61685265207 64.2884841175117 66.4476680752305 2890.40594809242 7.61482194961193 124636.782819218 0 178.91323521407 0 666.948431413549 6445.95886915156 0 0 3392.05965865851 0 30080.4933467908 2905.28896359152 647.446087776665 15781.5291392641 36.2231527078467 10.8099731569757 14377.6813317759 2722.71459735328 36932.4147659591 0 110.617121378949 0 9750.06104320794 1771.48414175602 0 2130.3329606643 1209.99863228915 886.143400637042 6936.60743880158 1155.27371060492 46723.34895482 3172.35221304552 17809.6289774557 429.34049896283 0 0 0 457.463271205029 1396.87454927042 6237.1700465919 3972.16504470278 7042.46722986464 6666.49118818 55280.7974135136 3749.04377258328 37022.5144546552 7541.14899929688 1088.63291936283 9069.664852007 6999.07835889208
6 9 10 2017 136.454482172407 74.2425574556141 0 4880.67944894005 7.61482194961193 156790.418180397 0 409.492417906491 0 2036.23695692216 3614.20497705824 0 0 2148.93965050589 0 37385.0043078708 1244.73987849818 658.209898875505 15755.112811735 547.879337905686 10.8099731569757 19603.0860204803 2064.91214804211 53898.5824735532 0 0 0 3851.18055203077 1800.1165193022 0 1730.37079521389 2225.06541323635 303.922815876667 8155.85737072404 673.434326900914 33878.1741995473 11885.735491545 25284.9398431865 28.930988176173 0 0 0 1517.41112444553 296.152077517816 16138.2349014736 3587.01318522115 11694.28405962 23552.6681791001 72688.4653142235 11495.7232759593 24131.213497087 12010.0608036543 2654.64996905484 8609.721857851 9068.61140255621
7 9 17 2017 124.535667412239 75.8514066124744 0 7815.54281584786 7.61482194961193 120069.156906071 0 151.434331233251 0 1388.84544640644 5595.46192297716 0 0 1369.35952815166 0 57737.444731505 2298.41361418726 1578.07629114954 10637.8250087117 167.524775793236 98.7539498137553 22264.1285056968 2315.28643223272 31707.3501033582 0 0 0 3096.15204129662 894.513877030955 0 1788.22241401588 1199.56120691178 259.204839095663 6860.13446042482 0 53087.2223053067 13644.9997934485 36766.6789848423 52.527395615152 0 0 0 946.354906091212 158.815861052731 18944.5859006642 4221.6910471935 7695.93097998645 19469.114059052 54895.8344619447 8471.42473850306 44253.1489919829 11725.3146062089 1233.04233277437 8547.3858866406 10244.9397378619
