"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1981-11-01 11 14 1 1981 0 30798662.2608293 1203973.96190905 0 1936625.02826423 1213972.96190905 0
1981-11-08 11 15 8 1981 0 31111541.0714721 3618088.66656578 0 1983584.03776726 3628087.66656578 2799615.96223274
1981-11-15 11 16 15 1981 0 29044028.369611 1638966.60097404 0 1867073.28155663 1648965.60097404 2872926.71844337
1981-11-22 11 17 22 1981 0 27618018.4556585 303565.486658198 0 1831867.89929482 313564.486658198 2864932.10070518
1981-11-29 11 18 29 1981 0 27477027.5881812 267963.072950536 0 1859811.30589865 277962.072950536 2793788.69410135
1981-12-06 12 19 6 1981 0 27262075.2489292 3530982.26119536 0 1792604.26049067 3540981.26119536 1512811.93950933
1981-12-13 12 20 13 1981 0 25557507.8590046 2238430.80237341 0 1703660.57077681 2248429.80237341 1681550.22922319
1981-12-20 12 21 20 1981 12341.4558347814 23629836.7438787 852485.220389541 59541.8325834661 1597262.16741653 830147.894341904 1824605.4
1981-12-27 12 22 27 1981 0 22310863.9336923 108557.595944389 0 1757086.69350582 118556.595944389 1424113.30649418
1982-01-03 1 23 3 1982 0 25776136.5947144 4668978.50317816 0 1880789.47645795 4678977.50317816 576570.523542046
1982-01-10 1 24 10 1982 0 24742433.1621477 4163966.41204516 0 1837624.26746655 4173965.41204516 623095.732533451
1982-01-17 1 25 17 1982 31400.5805057777 23622708.5029253 3525833.8827202 144889.109578873 1609359.69042113 3441279.53098919 727200
1982-01-24 1 26 24 1982 74785.1227965933 22405155.3471304 2721629.44868655 357102.896701239 1400539.50329876 2507104.94871676 727200
1982-01-31 1 27 31 1982 28834.2971605042 20887165.9237895 1765156.09730622 144647.170861051 1616388.82913895 1683959.83435096 727200
1982-02-07 2 28 7 1982 0 19316476.9313537 3505042.53390166 0 1833790.21998366 3515041.53390166 767209.780016337
1982-02-14 2 29 14 1982 0 19133460.9278417 3156144.6247508 0 2047152.27476521 3166143.6247508 441647.72523479
