"date" "month" "week" "day" "year" "shortfall_1" "shortfall_2" "shortfall_5" "shortfall_6" "shortfall_7" "shortfall_8" "shortfall_9" "shortfall_10" "shortfall_11" "NumOfLowFlowBonn" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "MaxSystemEnergy"
1999-09-26 9 9 26 1999 713401.184743931 179820 0 0 0 0 0 0 85194.8528801296 0 0 23324616.5339624 0 666417.615256069
1999-10-03 10 10 3 1999 651540.875884307 359640 0 0 0 0 0 0 81803.4869290624 0 0 26698117.7440493 0 762803.364115693
1999-10-10 10 11 10 1999 676096.329862767 359640 0 0 0 0 0.256198185423727 0 78652.0919653532 0 0 27047067.2548031 0 772773.350137233
1999-10-17 10 12 17 1999 695765.177625523 359640 0 0 0 0 3.0144851729176 0 80261.8642220223 0 0 27567047.9831067 0 787629.942374477
1999-10-24 10 13 24 1999 714162.043859785 359640 0 0 0 0 6.21816753800499 0 78456.6563559173 0 0 28131548.0649075 0 803758.516140215
1999-10-31 10 14 31 1999 745277.770383417 359640 0 0 0 0 9.17580444037208 0 77329.4729067588 0 0 28250888.0365804 0 807168.229616583
1999-11-07 11 15 7 1999 196591.192026088 3236760 0 0 0 0 0 0 78019.3548935759 0 0 45944430.2790869 0 1312698.00797391
1999-11-14 11 16 14 1999 292576.97458329 3236760 0 0 0 0 0 0 79577.2681398465 0 0 41074439.8895849 0 1173555.42541671
1999-11-21 11 17 21 1999 720524.255745626 3236760 0 0 0 0 0 0 74605.2319445273 112537.554247588 0 24585797.0489031 0 702451.344254374
1999-11-28 11 18 28 1999 750246.211138146 3236760 0 0 0 0 0 0 71694.9842838416 174773.838904232 0 22035040.6101649 0 629572.588861854
1999-12-05 12 19 5 1999 260680.307198733 1817800.38 0 0 0 0 0 0 76785.8819024433 0 0 42190823.2480444 0 1205452.09280127
1999-12-12 12 20 12 1999 555227.60817307 1811266.92 0 0 0 0 0 0 65523.4763218386 0 0 34902643.7139426 0 997218.39182693
1999-12-19 12 21 19 1999 774523.991481054 1804733.46 0 0 0 0 0 0 64049.2803761013 0 0 30248246.2981631 0 864235.608518946
1999-12-26 12 22 26 1999 927750.492692236 1438560 0 0 0 0 0 0 73542.0508002132 0 0 27906294.7557718 0 797322.707307764
2000-01-02 1 23 2 2000 665683.172879415 719280 0 0 0 0 0 0 48135.4724036029 0 0 37196133.3492205 0 1062746.66712059
2000-01-09 1 24 9 2000 776364.421701072 719280 0 0 0 0 0 0 66341.362912171 0 0 33439772.0404625 0 955422.058298927
2000-01-16 1 25 16 2000 734624.210831008 719280 0 0 0 0 0 0 61240.7506580125 0 0 35018161.8209147 0 1000518.90916899
2000-01-23 1 26 23 2000 764503.830823077 719280 0 0 0 0 0 0 63632.8368015756 0 0 34089857.5211923 0 973995.929176923
2000-01-30 1 27 30 2000 733486.244219493 719280 0 0 0 0 0 0 59996.4201330225 0 0 35292955.4523177 0 1008370.15578051
2000-02-06 2 28 6 2000 444116.419069721 959040 0 0 0 0 0 0 47720.2475073724 0 0 41497826.3325598 0 1185652.18093028
2000-02-13 2 29 13 2000 365821.219017664 959040 0 0 0 0 0 0 44661.6129075407 0 0 40315085.3343817 0 1151859.58098234
2000-02-20 2 30 20 2000 320667.223428467 959040 0 0 0 0 0 0 46538.394779733 0 0 37972402.1800036 0 1084925.77657153
2000-02-27 2 31 27 2000 230859.773174203 959040 0 0 0 0 0 0 34119.2332564367 0 0 37192589.9389029 0 1062645.4268258
2000-03-05 3 32 5 2000 0 1712578.35736415 0 0 0 0 0 0 43952.7359080367 0 0 41842500 8394846.38000483 1520881.64263585
2000-03-12 3 33 12 2000 0 1963000.36374028 0 3804.10524417467 0 0 0 0 48936.6296732266 0 0 38367000 1933958.61550086 1171159.63625972
2000-03-19 3 34 19 2000 74913.1675307314 2037960 0 3280.51964262564 0 0 0 0 46028.2392222796 0 0 32234647.6364244 0 920989.932469269
2000-03-26 3 35 26 2000 0 1960719.61530498 0 0 0 0 0 0 40563.8995838932 0 0 31416000 1992801.92513152 974840.38469502
2000-04-02 4 36 2 2000 0 1813162.45356117 0 17529.9777819164 0 0 0 0 33170.6803561398 0 0 29305500 1919991.09983055 942217.546438828
2000-04-09 4 37 9 2000 0 1541536.11510532 0 0 0 0 0 0 14550.2425848833 0 0 27195000 6890753.09357265 1153543.88489468
2000-04-16 4 38 16 2000 0 1406121.29018204 0 0 0 0 0 0 0 0 0 25084500 9368844.38966872 1228658.70981796
2000-04-23 4 39 23 2000 0 1000000.6872752 0 0 0 0 0 0 10279.2316348142 0 0 22974000 16800851.4228638 1574479.3127248
2000-04-30 4 40 30 2000 0 724371.72101454 0 0 0 0 0 0 17143.4821950761 0 0 24662400 15263449.5054339 1538708.27898546
