"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "UpSnake" "MdlSnake"
1985-12-22 12 21 22 1985 16510621.93 4938259.271 873125.9714 800048 3855100 3382920.80285714 6664735.69367822 2132893.15542027 1420000 2577600 4242400
1985-12-29 12 22 29 1985 16510621.93 4938259.271 873125.9714 816730 3855080 3373265.00547143 6123886.33106393 2129373.49363456 1420000 2577600 4242400
1986-01-05 1 23 5 1986 16365549.716472 4772056.7593715 864668.920601685 786576 3891488.50135353 3286938.86058913 5588948.66326393 2117771.18577742 1370000 2578080 4242400
1986-01-12 1 24 12 1986 16202064.9491468 4584420.41802789 831656.044520785 756422 3915583.14043179 3189471.6385629 5115193.36269419 2112246.23437741 1320000 2578560 4242400
1986-01-19 1 25 19 1986 15979040.7760569 4339697.15554913 749282.421467679 726268 3918711.96158044 3064952.2697693 4816945.75956486 2111968.42449749 1270000 2579040 4242400
1986-01-26 1 26 26 1986 15789423.0300229 4113722.55178209 672892.350249607 696114 3912405.10631754 2952637.35936281 4431982.35177623 2130948.31725938 1220000 2579520 4242400
1986-02-02 2 27 2 1986 15576452.1544143 3864180.80672566 583149.099825718 665960 3877443.54076583 2827475.99342321 4149474.09520069 2160571.32155886 1170000 2580000 4242400
1986-02-09 2 28 9 1986 15292490.738031 3555038.07450337 479650 621063 3874722.98002591 2755684.92951389 3921900 2168220.40090006 1132500 2542500 4205550
1986-02-16 2 29 16 1986 15063581.601624 3335532.21773833 370900 576165 3870210.14717097 2699735.06273747 3921900 2215352.56383718 1095000 2505000 4168700
1986-02-23 2 30 23 1986 15049677.0288787 3355030.9354053 262150 531268 3946816.02699189 2747124.15361549 4257609.08421429 2444870.25058075 1057500 2467500 4131850
1986-03-02 3 31 2 1986 15032896.0176414 3366686.78209371 153400 486370 4031961.85470324 2797910.79377252 4776849.77971429 2641187.69038668 1020000 2430000 4095000
1986-03-09 3 32 9 1986 14820606.6778246 3130656.0953244 153400 402130 4051890.38126561 2783521.73397165 5497805.16825714 2753103.78516674 1001250 2400000 4072500
1986-03-16 3 33 16 1986 14573532.3564017 2878490.78465196 153400 317890 4031174.51382677 2734266.67465422 5703819.6384 2710525.23850823 982500 2370000 4050000
1986-03-23 3 34 23 1986 14326668.6942015 2660362.91378828 153400 233650 4004158.874344 2697007.90646195 5939788.49405715 2661139.76001819 963750 2340000 4027500
1986-03-30 3 35 30 1986 14141721.6635197 2519170.7583956 153400 149410 4018747.789963 2727762.16085556 6588144.86137143 2690118.08738727 945000 2310000 4005000
1986-04-06 4 36 6 1986 14205715.9022197 2686781.04452417 153400 173308 4144120.37469157 2806557.74682699 5790830 2716463.14828675 926250 2282500 3976880
1986-04-13 4 37 13 1986 14180697.5709728 2759673.1601292 153400 197205 4165680.91815432 2865042.58536985 5790830 2695275.27572864 907500 2255000 3948750
1986-04-20 4 38 20 1986 14248543.3460127 2972864.11557966 153400 221103 4196914.06269715 2949735.03189842 5790830 2757672.53007927 888750 2227500 3920630
1986-04-27 4 39 27 1986 14276999.6679703 3116301.63694489 153400 245000 4187181.70854177 3013920.36732699 5790830 2744298.95682033 870000 2200000 3892500
1986-05-04 5 40 4 1986 14400928.4628275 3352065.9848306 195239.396314286 267000 4389560.5880132 3124935.46318413 5292081.21408572 2759979.32700638 1183000 2275600 3962400
1986-05-11 5 41 11 1986 14516419.5702275 3592806.8625306 234236.478071429 289000 4583364.92049892 3166000 4814793.58902858 2706397.17016474 1259634.43899878 2351200 4032300
1986-05-18 5 42 18 1986 14781994.0102132 4073256.21278775 311611.7485 311000 4904426.79637035 3166000 4536305.33831429 2799834.91344496 1420000 2426800 4102200
1986-05-25 5 43 25 1986 15840187.4347132 5411291.17073061 565297.794214286 333000 5743928.43424177 3473662.4037 5191893.28745715 2996466.37004496 1420000 2502400 4172100
1986-06-01 6 44 1 1986 17015552.4447361 6565408.33736327 753400 355000 5855100 3647000 7868348.02387187 3125386.07901639 1420000 2578000 4242000
1986-06-08 6 45 8 1986 17984081.0598361 6794500 753400 386250 5855100 3647000 9107300 3160017.50668782 1420000 2577900 4242100
1986-06-15 6 46 15 1986 18862201.0637504 6972000 753400 417500 5855100 3647000 9107300 3159846.94467354 1420000 2577800 4242200
1986-06-22 6 47 22 1986 19663521.0539504 7149500 753400 448750 5544073.0112152 3477014.79194923 8827654.89577843 3129078.1287609 1420000 2577700 4242300
1986-06-29 6 48 29 1986 19685500 7327000 753400 480000 5518924.60205611 3378769.28482771 8805044.72285232 3041188.01870731 1420000 2577600 4242400
1986-07-06 7 49 6 1986 19718567.8568039 7258093.95816139 868643.706942857 507303 5431305.67602629 3305220.47656094 8771000.64374891 2921647.43177655 1420000 2577600 4242400
1986-07-13 7 50 13 1986 19688636.5039198 7213742.74480041 968281.460685714 534605 5188219.63482078 3218839.49239415 8565055.47052806 2757122.14914666 1336378.33748703 2577600 4242400
1986-07-20 7 51 20 1986 19655532.8665426 7047090.558 1076134.75308571 561908 4975000 3166000 8316000 2593869.875794 1204390.10356826 2577600 4242400
1986-07-27 7 52 27 1986 20075520 7327300 1153109.36228571 589210 4975000 3166000 8316000 2465610.64285002 1183000 2577600 4242400
1986-08-03 8 1 3 1986 20075520 7327300 1249549.76008571 589210 4975000 3166000 8316000 2365852.32187919 1183000 2577600 4242400
1986-08-10 8 2 10 1986 20075520 7327300 1345535.94292857 589210 4975000 3166000 8316000 2293323.38538973 1183000 2577600 4242400
1986-08-17 8 3 17 1986 20057775.6060634 7323543.88876182 1405765.49630256 589210 4975000 3159723.96292857 8316000 2238000 1183000 2577600 4242400
1986-08-24 8 4 24 1986 20034301.4711368 7318574.91307751 1422500.73246978 589210 4975000 3147945.77611429 8316000 2224196.03885714 1173208.15114286 2577600 4242400
1986-08-31 8 5 31 1986 20042949.5217389 7320405.52167259 1422689.40759528 589210 4974667.76493889 3142806.26817143 8316000 2202952.07638571 1183000 2577600 4242400
1986-09-07 9 6 7 1986 19906455.4701092 7208392.32038123 1408479.09494387 601908 5021202.16443674 3120088.7019101 8345184.97030051 2171184.07286467 1273084.26815143 2577600 4242400
1986-09-14 9 7 14 1986 19787307.0164535 7130954.88804872 1402200.19790832 589259.347058158 5033414.22156583 3077425.8426446 8086726.53297764 2142784.92536731 1377976.93564143 2577600 4242400
