"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLES" "BONNE"
1984-07-15 7 50 15 1984 769446.087814286 869203.016282071 1211006.71368207 128967.295757143 245508.143014286 381787.086214421 603301.125357278 34228.7664428571 148244.654571429 268732.609971429 293914.763228571 309058.567585714 370837.12697151 2424321.4330456 2460914.26818021 2574422.38762306 2655877.60878021 2743584.73188021 2748041.59218021 2811451.19028021 190321.333700346 297911.336793761 293902.8624 293902.8624 303705.1782 49537.1989285714 855522.946338015 863726.584166587 753417.655199999 687748.883142857 3594257.94163735 3621893.64905164 3691073.16553735 3736024.57852307
1984-07-22 7 51 22 1984 741094.347214286 636214.106032167 929426.720375027 123792.4188 184078.0494 581368.235300425 750504.744428996 25920.0046285714 91711.5519142856 211175.828 232684.592171429 242413.519528572 546787.112729451 2256025.04955761 2513791.20984073 2593356.18272645 2652703.63134073 2711594.88152645 2709958.51759787 2731239.18255502 157657.038752927 236421.042749202 217086.980914286 217086.980914286 219582.187971429 38108.4365571429 732086.857989573 732580.742375287 553067.2062 510067.5291 3229752.99058359 3236117.95039788 3301673.66458359 3336497.47245502
1984-07-29 7 52 29 1984 791629.232271429 685138.105718995 966745.428733275 130078.039757143 178786.147628571 450098.143848529 595379.442105672 21582.1526142857 78955.8471571429 207930.868742857 222073.020028571 235386.080257142 426886.59692304 1940192.21193914 2048651.38131022 2123194.20453879 2184150.24848165 2238354.55568165 2241799.84555308 2236535.71238165 170802.642291691 291788.070266509 213972.930771429 214494.642675502 217600.758932644 31545.1296 694190 694562.892628572 506017.339361216 474442.457689787 2776760 2795674.38354286 2864802.32977143 2915718.04134286
1984-08-05 8 1 5 1984 684813.345428571 876787.594585714 1118013.42278571 115326.962742857 142369.6122 279993.508680928 405814.968752358 18251.9040857143 61275.1828428571 136180.981342857 145257.3466 155783.629471429 230730.264975999 1849463.79742836 1973461.69523721 2036530.13625149 2077449.15182292 2114371.47246578 2116396.59679435 2130860.07045149 139623.185116221 264092.261121053 250325.995114286 275333.316036288 282902.243007716 32969.2620857143 694190 698795.620657142 513038.482450573 474501.616064858 2665811.94524493 2685537.56860207 2753302.86995921 2810280.07021636
1984-08-12 8 2 12 1984 569990.184428571 715761.450128573 933092.398028573 90821.1732428571 114567.293185714 128183.824542857 215293.872742857 12051.5724 54396.9374 121426.370857143 129449.512785715 139148.688071429 153213.2505 1379774.08068571 1328782.99720001 1382856.39528572 1412965.49157144 1439803.84347144 1442219.71167144 1460205.83058572 95661.1358302496 182157.963413593 275758.065771429 341609.251516161 344443.632187589 25479.6739714286 694190 695554.628342857 520468.787587589 492854.898359017 2018223.71578759 2034113.30540188 2100625.05281616 2152435.31000188
1984-08-19 8 3 19 1984 394988.500285714 490224.880928572 635670.857314287 62243.3169 100811.918828571 111256.879371429 199795.582357143 9121.9851 54748.0118428571 115333.146628571 123005.214114286 132107.3645 143218.771442857 1059122.91142857 1005305.38115714 1052323.57137143 1076317.62524286 1096418.1247 1099167.2161 1112452.50772857 94836.330259481 163563.084483165 232611.611785714 367999.807294537 370290.716794537 15110.0853428571 694190 695699.421757142 522885.124208823 500878.508708823 1680963.42520883 1692786.89839454 1758306.91009454 1804976.0093374
1984-08-26 8 4 26 1984 444051.649542857 562788.199671429 762876.830442857 88694.8918714286 91485.6361714286 103200.018428571 254808.640542857 10234.7125714286 51840.2427285715 106558.269028571 114329.510085714 125905.049342857 131206.868471429 1186978.95782857 1134656.96501428 1174744.90605714 1191047.05772857 1206113.5067 1205976.64717143 1211724.74737143 100106.556585518 188079.255362191 207552.433757143 217784.019677514 219725.838206085 22153.3923857143 535740.073542933 531656.105871504 355268.341748943 341665.6946918 1553981.51654894 1558632.75704894 1622355.74363466 1664161.37093466
1984-09-02 9 5 2 1984 306456.253071429 634885.758218021 771295.038775164 52899.183 77516.0469 51531.5580727895 153403.689392796 13257.5230285714 46703.0517285714 107288.186514286 116483.560057143 128243.562157143 153568.863690591 1115449.65110551 885417.365695135 919045.140295135 929551.588452278 942237.871709421 941674.565823706 950088.451623706 83285.8942010459 162649.065150623 155488.292228571 121401.587795713 130971.837438571 17882.9784 362186.54419756 363009.684840418 289175.502052856 288747.072224285 1250434.86476227 1294071.23619084 1357812.07401942 1409172.08319084
1984-09-09 9 6 9 1984 253652.2767 323737.027380381 470747.962723238 47129.2646142857 81520.6757142857 74688.0086634205 190621.194606389 12874.7130428571 47583.7130428571 108646.864442857 117510.998257142 129298.768957142 172513.895398731 923076.267529415 908538.289355656 943264.907127084 955820.281269942 969972.349912799 971378.631155656 989567.064155656 66352.6882166577 129831.897860664 203803.672757143 106974.014971429 116492.694357143 7818.84437142857 323003.703930023 324517.092630023 276104.623685714 263896.357042857 1302367.89274137 1336545.08892708 1401585.10054137 1454785.77119851
1984-09-16 9 7 16 1984 385880.399485714 460654.061304603 586834.579704603 47761.992 92207.6197714286 66888.9507712586 154776.491238696 16074.0524571429 44386.3571 102647.013371429 110658.254471429 119915.115628572 159873.220176057 845769.401920266 895630.175615797 922912.825115797 929940.264387226 939496.629730083 938352.166715797 948799.110730083 75250.0663633506 132551.078115714 189520.695 114355.70224 121492.23244 11113.3904142857 293407.537037035 291182.082094178 246837.709368571 233441.34334 1182115.49537008 1204130.0447558 1270824.27154151 1318207.42049865
1984-09-23 9 8 23 1984 173121.353228571 299571.162204781 409348.371890495 27619.8396428571 76623.4847571429 91027.4494447525 158979.25522162 12031.7376857143 51782.7220571428 126236.289071428 133737.778014285 141201.581 186559.122869812 770878.262634982 948444.207927739 978656.444727739 989694.463227739 1004507.02785631 1006510.33399917 1028526.86685631 69608.2473798305 117754.244006985 203067.804857143 172149.159835714 180289.326578571 16796.0360571429 378938.56439153 378436.746120101 334401.089635714 326455.303092857 1423985.15747774 1462282.0238206 1537400.05376346 1589438.41016346
1984-09-30 9 9 30 1984 149200.6878 287560.316088441 385988.102259869 24904.4672571429 68102.4915 84874.5823054043 128989.47202502 14015.2091142857 52197.2675857143 109979.757242857 120018.106142857 132732.158 181772.915214493 748818.743254219 953744.731546898 976961.264618326 985041.927218326 995278.623261183 995595.978689755 1017313.00736118 116936.109181105 194122.042352921 294154.763271429 294154.763271429 299113.441842857 17240.3336571429 479931.893069899 481244.951155614 438480.0783 427812.968957143 1492862.18318976 1532458.22331833 1604563.36016118 1639272.12668976
1984-10-07 10 10 7 1984 205537.226785714 395517.987662637 492021.806548351 27215.2114714286 62509.1020714286 111488.826829596 164320.905033753 13372.5643714286 52584.0445142857 107629.3436 117870.006585714 134128.521885714 152451.830942857 1176413.26126861 1150846.87335989 1173178.77817418 1186311.34250275 1199679.93993132 1199515.31180275 1224949.36593132 65869.2727091225 136559.114162064 249530.623071429 249530.623071429 252117.069814286 19626.4497857143 422285.16986605 419448.805723193 373695.9345 374788.827257143 1614150.09658847 1646899.19334561 1719579.53690275 1752951.44368847
1984-10-14 10 11 14 1984 122302.831757143 393123.543657252 470742.731071538 16942.8129428571 66759.6813428571 120440.519470628 182799.171242185 13366.6139571429 53712.6397571428 107099.756728572 117060.750242857 134913.976571429 153399.930285715 1001329.47198512 1175815.24043449 1201937.55914878 1212485.66020592 1230005.66333449 1230572.93616306 1269750.46382021 58019.2099914321 128315.68679574 196294.249928571 196294.249928571 200033.093571429 20509.0945714286 387380.05941726 386148.323660117 341932.623042858 336261.878228572 1654623.25982021 1709841.12092021 1792434.85467735 1834914.86226306
1984-10-21 10 12 21 1984 103174.2333 401937.463515023 463950.697729309 14818.5150428571 58790.0931428571 132555.371429106 214457.470543344 15865.7879571429 50156.2754857143 96053.804342857 105985.045785714 123318.6026 142167.531585714 1059677.70340345 1242392.42862826 1266680.03627112 1277150.78194255 1294956.40495684 1295192.43805684 1329774.26241398 55915.3892893293 153209.020462334 129092.254457143 135624.863062857 140345.525062857 29698.5177 324144.479831311 322057.867888454 277078.111462857 262848.687434285 1633825.60183398 1687734.37179112 1768927.7747197 1813177.0388197
1984-10-28 10 13 28 1984 79235.7166285714 366926.01557611 416546.520304681 13459.8371142857 49271.4137571429 146364.252351332 220293.030025946 16867.4410285714 56515.2848857143 109727.856371429 119323.891142857 152743.401242857 164102.742114286 1083653.42122948 1248677.66544516 1271568.9092023 1281220.48117373 1300083.29445944 1300115.0300023 1321016.85191658 47149.5617420288 115031.359076681 154802.011114286 148269.402508572 152851.221508571 41668.7677714286 354058.353151004 352277.195808146 306600.009294286 291815.213265714 1660691.2472823 1716010.26542515 1818833.4242823 1913337.90396801
1984-11-04 11 14 4 1984 90200.3466857143 203520.07455568 251821.570784252 13991.4074571429 60190.4239714286 86465.9733456555 138379.14663049 15649.5895714286 58102.0620285714 116884.221285715 125460.751742858 164150.345428572 187604.895071429 776048.181745554 830500.653350423 854006.773250423 865088.428121852 884264.629893281 884518.514236138 903748.269736138 46531.0010356154 102511.672090055 213822.186942856 213822.186942857 218350.452214286 40490.5857428571 434540.376020132 437581.037720132 400990.484828571 388145.523857142 1348761.90292185 1396551.66352185 1519798.62767899 1621949.38972185
1984-11-11 11 15 11 1984 84414.5605285714 660491.536957143 711109.727814286 17506.1188285714 61376.5398857143 155036.157058914 328133.835668334 17946.4494857143 57090.4916 107661.079142858 116513.312128572 150928.524885715 195371.886128571 1991400.50522916 1997876.80849555 2022051.35826698 2032583.59155269 2051335.33043841 2051666.57016698 2073155.49962412 50185.4307840928 108600.274486342 339990.804514286 339990.804514286 346381.549457143 50308.7693142857 586743.537846246 586717.752717675 527555.796685714 506271.164785714 2640075.27028127 2727108.01309556 2859324.2350527 2970456.15572413
1984-11-18 11 16 18 1984 76986.4600285714 447227.494079929 491322.047408501 12769.5890571429 52841.6623285714 85067.5312999997 147870.187142857 13574.8784571429 57647.8470714285 108861.079357143 118302.403357143 156101.418371428 191127.257271429 923378.876979929 943073.375098311 966115.362684026 975576.521398311 991652.557326883 992021.483012597 1026504.13379831 48024.7664715906 104492.395935339 349350.806185714 349350.806185714 354706.179042857 36101.1634714286 550629.518485714 550097.948142857 515024.224199999 513334.306542857 1597561.42585546 1671294.99274117 1788284.10454117 1871286.4334126
1984-11-25 11 17 25 1984 70195.0538571428 111772.650729274 152346.542272132 14114.3826857143 50401.9924714286 82225.2167428571 147584.567257143 15254.8787571429 56136.4418428572 101151.325914286 110759.261514286 144488.193157143 194374.2 576870.147357846 604465.31172048 626467.960277623 634780.689034766 649192.592434766 649416.724706195 699263.345177623 44582.9245419778 78362.709838716 394667.177914286 394667.177914286 399970.980514286 29627.1127285714 586752.500142857 585988.863642857 559961.752885715 553231.834328572 1316376.84380619 1404272.3966919 1508973.9029919 1607336.23460619
1984-12-02 12 18 2 1984 50768.9346857143 65839.2818135848 104372.181256442 14021.1595285714 35028.1054285714 899148.602828572 1158458.2166 9004.96028571429 50999.2508428571 88330.1666000001 97505.7054285715 111992.980742857 184631.388342857 1258142.31303471 930862.142899299 948467.435299299 954693.552113585 966191.735985014 967157.686570728 1006819.18125644 44901.9352607848 79428.9377264971 309933.278485714 309933.278485714 314308.816457143 22351.7395285714 450557.434499999 454689.005485713 436794.127585714 416614.289271428 1508938.94034216 1588910.52487073 1683906.90547073 1748585.92528502
1984-12-09 12 19 9 1984 47964.3060857143 640829.384685714 676051.870314286 14997.0274714286 56895.8779285714 68150.4070564965 263879.650385068 13987.4405142857 53026.3586428571 86310.9926857142 95105.7049999999 112661.410614285 181255.519971429 1753130.13031364 2258587.81062433 2276417.23529575 2281526.65769575 2293586.16398147 2293713.1061529 2303715.75256718 46883.018676831 64783.5420002339 315280.717457143 315280.717457143 320096.586085714 29748.1044857143 498237.691728572 498382.485142858 483982.896342857 463737.603471429 2817325.76163861 2912141.64633861 3008502.65528147 3077110.93199575
1984-12-16 12 20 16 1984 37985.4613285714 369199.4085328 402497.926875657 13981.4901 37467.7752857143 70645.3861862236 109838.781614795 11018.1837857143 50523.2177 97243.8871999999 105802.566414286 127975.793514285 175564.940442858 740906.347635694 1317150.70432496 1328490.2104821 1333718.64116782 1345131.53576782 1345510.37881067 1362090.2164821 46712.4955918329 65901.70301604 336434.440242857 336434.440242857 341260.226228571 20354.3838 492770.278284054 495628.460612626 474757.770728571 454627.5192 1884699.23542496 1958920.7362821 2050600.75265353 2114349.52436782
1984-12-23 12 21 23 1984 45209.2642714286 295168.415127985 327641.809356556 13840.6636285714 55257.5305285714 76026.9774253442 104136.734511059 12880.6634571429 52484.8709428572 95801.9034714285 104687.855471429 128818.768871429 177949.0731 725100.779407357 1268547.24137098 1286856.66612813 1292095.01417098 1303131.04919955 1303192.53681384 1317874.19232812 45671.4157288736 62511.2102153239 277418.231357143 277418.231357143 277364.677628571 29283.9721714286 441601.444911786 437225.906940357 421509.496757142 415307.1816 1763137.74291384 1842179.07934241 1931578.10357098 1998587.70231384
1984-12-30 12 22 30 1984 34859.5103571429 293256.348670957 328044.454056672 9072.39831428571 36025.7915571429 58009.3207485656 111395.975954435 11902.8120428571 51328.5071 92162.2334000001 103007.855171429 113553.972757143 183758.660914286 750330.457009966 1323868.60499828 1341019.68244114 1346621.00575543 1355893.734684 1356459.02404114 1379300.68101257 45245.5773085824 61755.3656157108 311978.237528571 311978.237528571 315772.618371429 20717.3590714286 471946.925078904 473589.239421761 449030.162828571 425424.869357142 1903347.71674114 1986441.28529828 2076215.18562685 2121418.49948399
1985-01-06 1 23 6 1985 37299.1802142857 374938.720007926 409451.122865069 8542.81144285714 45193.3965 43338.0158868588 256737.11719315 8759.00982857143 51965.2014285714 93516.9443857144 104646.202571429 112332.154357143 251793.327611059 1256804.44518594 1715128.3055257 1733070.78806856 1737940.2104257 1747677.07166856 1747667.15431142 1766696.57919713 46121.1141317313 66174.6424986386 298921.0452 548921.0452 553842.037814286 13065.1263 705487.018389507 705205.36544665 682767.680671429 661721.065342857 2512383.9405257 2594420.31881142 2681669.26001142 2708142.65316856
1985-01-13 1 24 13 1985 40486.6188 371861.413290818 406814.146805104 9582.15047142857 50241.3312857143 52292.2899164504 91152.1989501132 9399.6711 51358.2591714286 80921.9008142857 91402.5638428571 99399.9206428571 251903.555095147 1153764.25091969 1730302.90686059 1748310.84396059 1752801.42327488 1763412.99541774 1763349.52433202 1778289.03113202 45904.7090765328 66251.095168733 370619.5704 370619.5704 374971.306714286 14179.8372428571 510939.460815793 510786.733515793 487287.359828572 465572.314628572 2321807.80596059 2381181.03970345 2466646.84008917 2491206.18331774
