"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
1998-08-02 8 1 2 1998 665190.862585712 820827.915171427 979317.199671427 1388.38 145709.778085714 159665.483057143 266725.286885714 18287.6065714285 76165.3028571429 162144.622342858 165506.606414286 194947.472828571 218074.749685714 1482127.15681428 1519884.51892857 1565776.09737143 1593691.47425714 1614779.74248571 1617673.6273 1622414.12401428 137062.524545042 187062.144768313 352286.611372569 352286.611372569 360537.852515426 149780.379113145 694190 698266.033785714 551565.98580114 587581.86000114 2211975.48850114 2258628.71997257 2325259.47567257 2392743.12408685
1998-08-09 8 2 9 1998 556246.710900001 687899.62697143 817937.997300001 18407.6456571431 115814.896714286 110977.2099 211417.2669 12981.8204999999 51689.2654285713 127862.735642857 130845.876671429 145194.075514286 162071.4339 1152895.78212857 1174085.2074 1207839.92417143 1225651.4976 1239640.92158571 1239920.59105714 1237524.55757143 89951.2972832662 162172.792165645 283632.115323956 283632.115323956 290001.042081098 157860.806585849 590199.72532409 591875.758681234 436825.53110967 464435.453395384 1653349.09319538 1682756.04059538 1747581.83729538 1808750.1126811
1998-08-16 8 3 16 1998 384458.250471428 473476.448185713 546031.833042856 56522.9853000001 101585.472685714 94675.0582285717 220105.824428571 15415.7734142857 44824.7042857143 105822.401128572 108482.236314286 111576.451742857 124818.107 910201.387742856 935439.078199999 968648.340328571 985845.037614285 1000143.88314286 1002438.75958571 1005253.30554285 78929.6641497621 135136.314043578 161262.177557143 161262.177557143 166375.5669 163065.010219289 446881.920405004 447346.052719289 286966.662814285 313438.072499999 1310081.12857142 1339214.35691428 1404538.00494285 1463171.40384285
1998-08-23 8 4 23 1998 432999.260232036 521914.317432036 631041.80938892 54628.7633770561 82413.2378571425 83639.0231999996 206400.030148484 18509.9888428571 45764.8697428571 103844.880114286 106175.459042857 109892.4845 120863.064971429 929207.378651689 946622.257794547 976529.039994547 987348.876637404 997401.109837404 997151.192437404 999487.721780261 96791.6770058698 146297.780672094 136482.669 136482.669 140582.504442857 129248.605753358 379897.906710501 379909.807539073 253707.813899999 276527.652685714 1216497.34730883 1235828.25985169 1299924.13906597 1352283.8178374
1998-08-30 8 5 30 1998 500552.963048798 600541.741234512 743344.46921825 73527.1877760068 77335.7610791274 85396.5889648416 205799.157012277 24105.3617428571 50798.9202285714 102131.1608 103561.2437 114287.857185714 121481.908057143 1012045.68911624 1031886.35381624 1055709.82914481 1066569.33521624 1075161.73344481 1074907.84910196 1073755.45220196 77149.2085066414 133446.621883171 148181.183485714 148181.183485714 157071.102428571 28051.5134893892 279841.31051796 279992.054346532 254033.103214285 256712.773114285 1306156.81601624 1321151.86001624 1381209.39140195 1409826.91717338
1998-09-06 9 6 6 1998 350794.653207935 428300.782750792 599628.716538849 71149.8742919816 46896.596256202 68698.9141990592 158711.785862469 48885.703357108 78306.535057108 103305.375885714 104435.9546 137844.396928537 145496.629699966 865265.33633242 887706.332075277 909576.088046705 920687.494989563 929561.546160991 930698.075289563 928369.47983242 62800.1809814265 111169.817665282 105011.369992858 105011.369992858 120619.306664286 35202.5418909629 269740.54658382 266485.669969534 233320.153235714 226015.027964287 1171529.63482528 1193688.97762528 1255936.26146813 1277738.57941099
1998-09-13 9 7 13 1998 312615.117218521 377161.244447092 465693.512433618 49277.4536284627 76107.296204931 87944.6536906453 161015.319135581 54144.302594633 80500.6709374902 106064.384642857 107246.533614286 145465.31063749 153722.502194632 948688.221551352 965061.778194209 984249.880794209 991076.989451352 997525.255065638 996852.858251352 991449.882079924 64280.6680311053 122470.418165756 101866.576042858 101866.576042858 115100.297414286 36054.4077389287 264285.965024644 265376.874310358 231539.987628572 225395.193142857 1203605.40343706 1244062.27016563 1305851.37210849 1327532.69829421
1998-09-20 9 8 20 1998 265598.736368753 317097.588540181 449190.106784629 36761.3668483135 68828.0355586899 85548.6997015471 158154.940223368 61019.6080585741 89549.8610871455 106373.806185714 107355.624542857 149696.648687145 157539.294715717 998051.905566977 1023557.36466698 1046754.06302412 1056147.78370983 1064099.52066698 1065228.11590983 1062070.42939555 79086.296622084 189932.334938196 132798.520578571 132798.520578571 146766.126378571 38245.9034162322 293014.032551946 292383.288637661 256892.427035714 248401.18585 1342359.88540269 1390080.22450269 1452801.55801698 1476160.90103126
1998-09-27 9 9 27 1998 263814.097099092 306401.212141949 446401.69560248 26827.938991155 71586.5146382296 84084.3681096582 161478.213108348 62826.1019784073 89109.0818784072 105885.872214286 107430.996457143 159813.887892693 164984.797906979 1007898.77659656 1031500.10312513 1053627.71038227 1060803.91001084 1067531.84509656 1068053.49808227 1059736.80238227 64564.207974019 125341.178209417 211309.128642857 211309.128642857 221492.270957143 38165.7412132207 369169.436684649 369371.750770363 333691.299257142 333631.795114285 1409329.59208227 1454705.4679537 1516663.16496799 1549628.46011085
1998-10-04 10 10 4 1998 348308.141933452 385680.710590595 649375.106436168 36217.0507382958 88804.1068533604 103356.836724789 187729.380133203 27588.3375714286 51082.5566428571 101022.400271429 103228.0205 115230.006114286 119504.387042857 1215552.03030017 1231394.01660017 1249634.01985731 1253644.59908589 1259472.03814303 1259085.26121446 1259815.17870017 59583.6729703979 106744.37333818 204549.458014286 204549.458014286 207062.516314286 40138.2196629093 357118.772134338 357620.590405766 319824.8505 321288.652414286 1577553.41725731 1614003.67170017 1674685.99658588 1722418.23651446
