"Year","Month","BROWN","LGOOS","LMONU","LGRAN"
1991,7,15145.086946875,44955.4122336755,45603.8603324618,44820.7575786584
1991,8,11448.9415258297,21290.8000850212,21697.4282718413,21257.0000120068
1991,9,14149.4952716245,20892.9019112529,21108.9322345044,20893.1750953515
1991,10,14488.5133756527,20957.6470836913,21069.4664009161,20969.0674345366
1991,11,14331.3228684848,25359.5203221653,25478.3679198128,25378.6055049825
1991,12,13604.5052791732,25128.3982264922,25336.7966219148,25124.5030305975
1992,1,13770.6779265458,22863.2296282076,23112.0038874835,22869.8721701897
1992,2,16899.7132870269,35504.5296566422,36329.402393142,35512.3217910478
1992,3,16156.0226798077,41160.6235063819,41602.1247159865,41169.9712524538
1992,4,21648.9637796281,59266.9858545732,59583.0414681864,59272.6909039832
1992,5,26290.1712079184,79275.2115781865,79653.6519822779,79287.4945745387
1992,6,16344.7721199143,38997.1513559898,39537.0877115144,38984.8908584757
1992,7,12178.4000378861,27748.1564032784,28374.400948206,27722.1606846533
1992,8,9615.09211144021,17890.5413600207,18345.1786075097,17862.6383331842
1992,9,12057.032650031,19795.3899596017,20023.6365945508,19788.0493126722
1992,10,13247.4710394582,20577.4983370697,20676.6588624212,20587.1447862401
1992,11,12692.6857476617,22207.0850299743,22318.753124168,22212.0600067713
1992,12,12748.2420617939,20991.7273312294,21136.0018528969,20997.1305365075
1993,1,11650.5242706439,19818.8020773077,20250.917991902,19827.2150084361
1993,2,11804.081994107,21366.8017652916,21980.6316978164,21360.5439426055
1993,3,28932.7561743099,60299.8093499298,62646.0954365046,60530.5843565142
1993,4,32670.8473281324,78992.9139390177,80554.1154373211,79008.1215611996
1993,5,48256.8737779763,159887.359982884,161490.751944231,160007.22692624
1993,6,38773.2054677436,115635.194668083,116286.753181904,115429.257031099
1993,7,18756.1135921188,49186.1522879604,49781.7557263543,49090.2049030053
1993,8,15406.0933625266,31365.7096631873,31744.5939570624,31309.0637275837
1993,9,13938.9156504661,23819.6231277177,24033.2698182569,23805.7810179621
1993,10,15576.3376100578,24256.5119793767,24389.7143501762,24265.0131150287
1993,11,13125.7355925106,20970.8207636612,21063.710347607,20973.3244241157
1993,12,13281.7736558484,21709.1678368106,21875.2495000589,21706.1605909401
1994,1,15241.3712931828,26179.0072219324,26501.9770114575,26186.1763074593
1994,2,15327.7323709568,22989.613242077,23175.9265453833,23000.4237974736
1994,3,16840.1391241457,37317.2610300072,37690.0402052623,37326.1226876413
1994,4,24229.1748384147,69293.1618988567,69682.8875101901,69314.1270454228
1994,5,35933.7491144577,94171.9480655253,94626.4193454332,94195.3609712182
1994,6,21134.289681632,57260.70310772,57826.666593049,57231.4355925024
1994,7,12016.9689441831,26037.7596665792,26617.5636948513,26007.6878957149
1994,8,11418.0493236467,19173.1196933066,19592.5364813916,19143.5742427594
1994,9,12849.1621863702,18541.8957374283,18750.3843842635,18535.0711069539
1994,10,15613.9531159807,22354.1133479267,22437.8521937218,22372.160597324
1994,11,13580.0137800356,22111.6965345092,22533.9361954757,22114.9462331085
1994,12,15108.0711148794,25761.4749418239,27073.1916831388,25769.8624599224
1995,1,15899.1671494909,31312.6260935928,33347.0329754809,31441.4591960875
1995,2,18376.1583472826,60214.0230559823,64548.7013246614,60249.3384335415
1995,3,22182.4601569789,61660.7987938752,64957.4578600975,61619.3707218716
1995,4,24694.9335334333,64405.8420011247,65977.3307144782,64530.2538483813
1995,5,43336.3546477584,128033.393616863,129341.832625803,128289.886926942
1995,6,43843.4192991115,133143.320539889,133923.242101989,132988.240051662
1995,7,23406.5412207031,65606.5435913778,66163.6358867816,65386.5484881857
1995,8,16715.1846004575,31176.3306732537,31495.3673997003,31117.2240972325
1995,9,14417.8656012473,24004.146515665,24199.4161352164,24021.9352776437
1995,10,15286.817709569,29733.996650547,29957.936867756,29752.1673384376
1995,11,14632.259065009,47877.8987582159,48972.8523255442,48389.9542340309
1995,12,17758.1153379766,71131.4614203253,73478.1419800075,70778.9340709958
1996,1,20701.9174707071,52515.704178532,54917.4827250188,52463.3120498597
1996,2,32015.8770478123,102719.149607357,112469.336406848,102818.430637579
1996,3,37585.547934925,76270.6253798292,80159.9047519008,76254.44789469
1996,4,51064.5114819376,125766.575742156,129998.260905738,125810.771905229
1996,5,66620.992712501,174350.882066002,176914.26639891,174521.947359361
1996,6,63862.464555238,183321.08885241,184348.657751646,183318.625547009
1996,7,28290.736239825,68357.7975918751,68989.2571645422,68271.1609712691
1996,8,17744.1849066748,31767.093993014,32173.2740543106,31750.8170429362
1996,9,18316.7295849732,29182.8292415448,29443.3245571936,29209.7180566036
1996,10,17683.3306305435,27905.8781179659,28172.4413064865,27939.090812782
1996,11,18328.5592521092,32917.1954222388,33666.5460466504,32961.0248886218
1996,12,26115.2405326515,43740.3454765003,46311.7244302206,44006.6406016894
1997,1,47764.6200549185,90935.0965156177,97836.1466521085,90816.6385009876
1997,2,29744.941979098,61668.4645919883,67760.7967934441,61617.385282024
1997,3,40542.9283941887,88102.1731459359,94280.9364320414,88224.0931621034
1997,4,56925.4643783026,133302.296272702,138046.347859303,133406.948949362
1997,5,86377.4002931581,242809.769527035,246045.185460771,242838.579872167
