"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1991-07-21 7 51 21 1991 141736.731922857 0 2152400 126081.344828571 2551285.17905715
1991-07-28 7 52 28 1991 148441.658740001 103831.332254623 2152400 109765.308857143 1946787.48554394
1991-08-04 8 1 4 1991 161192.603165714 1.62981450557709e-09 2148496.59685849 78960.0140999995 2053237.52088153
1991-08-11 8 2 11 1991 156927.346205714 42394.2581372608 2084504.90108341 93048.6116571426 1735722.76049068
1991-08-18 8 3 18 1991 154977.990485714 1.89174897968769e-09 1884069.93511813 98721.3399428572 1459561.71317143
1991-08-25 8 4 25 1991 152456.403258571 279410.877985498 1380703.67525199 111363.98682857 1117855.20587143
1991-09-01 9 5 1 1991 141095.872304285 870999.591698391 708558.647600002 121616.550642857 1013037.25822857
1991-09-08 9 6 8 1991 145361.327611428 370811.58549683 651391.255159041 112718.697814286 405489.2345906
1991-09-15 9 7 15 1991 137196.962517143 284682.233501312 425003.845676688 132154.734342857 232955.501379732
1991-09-22 9 8 22 1991 137174.945984287 274330.793328465 218148.464122687 134832.420771429 191313.103585714
1991-09-29 9 9 29 1991 137184.2683 420211.612443493 208366.170588391 143043.992485713 232168.648071428
1991-10-06 10 10 6 1991 134460.763681429 494831.179649521 178052.559164045 156660.523842857 214660.545771429
1991-10-13 10 11 13 1991 138087.937882857 1000524.00099207 123852.205143577 144303.496842857 187629.797142857
1991-10-20 10 12 20 1991 144914.451498571 1502504.81929545 69514.4152317429 122768.947542857 184125.003128571
1991-10-27 10 13 27 1991 140981.029308572 1971916.58122352 0 128394.072514286 221826.778042857
1991-11-03 11 14 3 1991 130837.556422857 1157834.93050547 0 143339.529728571 264376.207128571
1991-11-10 11 15 10 1991 128467.506412856 2014604.44924582 0 143529.942985714 310320.956242857
1991-11-17 11 16 17 1991 117883.901217143 2042222.25354045 0 174932.262642857 328787.075242857
1991-11-24 11 17 24 1991 121766.546538571 910645.170508983 0 156910.441242857 335554.679757143
1991-12-01 12 18 1 1991 122642.249174286 1104360.60792501 0 156844.986685714 1029596.85556869
1991-12-08 12 19 8 1991 120925.157958571 3278217.37271236 0 152211.597428571 439356.184742858
1991-12-15 12 20 15 1991 127032.464834285 3067071.45945348 0 154097.878757143 328529.223957143
1991-12-22 12 21 22 1991 129568.72975 1874772.01311333 0 150164.654914286 337762.283457143
1991-12-29 12 22 29 1991 125734.282784285 1001258.79781411 0 156680.358557143 326563.603771429
1992-01-05 1 23 5 1992 124062.811411429 2407334.96319616 0 158136.226671429 481510.021278316
1992-01-12 1 24 12 1992 129857.721537143 2417817.2616429 0 140616.223542857 343524.190947154
1992-01-19 1 25 19 1992 132491.969941428 2359733.28304483 0 133795.0653 360136.843475541
1992-01-26 1 26 26 1992 118327.405428571 2542784.79463521 0 139281.347271429 578732.684837037
1992-02-02 2 27 2 1992 118615.802174285 2701108.92329117 0 165463.170128571 821002.847113744
1992-02-09 2 28 9 1992 115445.024748572 2986890.51525897 0 244605.237014285 426956.983457337
1992-02-16 2 29 16 1992 99983.0715742852 2720447.62121589 0 249920.940442857 539903.628642738
1992-02-23 2 30 23 1992 92557.9462814287 2450580.48199705 0 251275.651428571 573322.568681553
1992-03-01 3 31 1 1992 303535.730558569 1352912.68002906 0 193612.170057143 570630.446468181
1992-03-08 3 32 8 1992 221216.063185715 2725685.5864791 0 221216.063185715 648280.247885714
1992-03-15 3 33 15 1992 199358.208042857 1539002.39115776 0 199358.208042857 709055.212457143
1992-03-22 3 34 22 1992 201135.398442857 1519155.09422883 0 201135.398442857 671865.123171428
1992-03-29 3 35 29 1992 182149.609928571 1641611.83096848 0 182149.609928571 659079.666342857
