"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit" "Total_ORCEnergyContent"
2030-11-10 11 15 10 2030 1021451.4565584 NA 459844.625696823 1503138.39830318 0 1203100 113704.57345821
2030-11-17 11 16 17 2030 1264362.75822997 NA 1079216.87433152 883766.14966848 0 1106640 358040.631959639
2030-11-24 11 17 24 2030 1458578.67585467 NA 95412.5398089059 1867570.48419109 235226.790704496 1106640 702551.988303328
2030-12-01 12 18 1 2030 1867717.46848665 NA 220310.422866721 1742672.60113328 367222.278700711 998520 646961.930924689
2030-12-08 12 19 8 2030 2753746.26224714 NA 503990.512886993 1782517.51911301 716524.84983204 998520 1108263.52442331
2030-12-15 12 20 15 2030 2710982.23569446 NA 529425.637998202 1757082.3940018 531145.638664456 998520 880626.587087321
2030-12-22 12 21 22 2030 2761651.65020711 NA 367869.01448797 1918639.01751203 178416.436735443 998520 375263.566841686
2030-12-29 12 22 29 2030 2745218.76936254 NA 163189.178739991 2123318.85326001 191197.090251627 998520 400739.31237745
2031-01-05 1 23 5 2031 3969432.54951311 NA 610318.080692303 1666265.8713077 8901635.41279086 1010180 9738175.83472783
2031-01-12 1 24 12 2031 3199943.24976662 NA 303538.12186075 1973045.83013925 6807688.97014886 1010180 7406194.71907518
2031-01-19 1 25 19 2031 2355309.13159673 NA 447535.91975874 1829048.03224126 4736552.19841508 1010180 5433867.98073997
2031-01-26 1 26 26 2031 2929782.92431041 NA 0 2601650.77355399 4450719.65006045 685113.178446014 5282083.24953084
2031-02-02 2 27 2 2031 5004380.70915286 NA 0 2476151.26010395 5090365.20067637 823332.691896047 6350216.62745065
2031-02-09 2 28 9 2031 5785383.25714006 NA 0 2939436.17231628 7445689.68028002 271222.499683715 8875586.3811609
2031-02-16 2 29 16 2031 6377040.51276027 NA 0 3057643.62050436 7842448.43896929 83055.0514956419 9177222.42281603
2031-02-23 2 30 23 2031 7031797.36848973 NA 0 2905948.95305415 8290531.45395401 234749.718945848 9533223.06141096
2031-03-02 3 31 2 2031 7613468.05809592 NA 0 2698458.36401544 8599906.81321793 442240.307984559 9816764.05161838
2031-03-09 3 32 9 2031 7012670.5206789 NA 0 3520597.56042216 8022219.74848557 0 9120787.81352371
2031-03-16 3 33 16 2031 6521828.56458526 NA 0 4419168.20303195 7462174.78383103 0 8489257.5668554
2031-03-23 3 34 23 2031 5781808.07161022 NA 0 4266876.74411245 6818571.35364719 0 7658698.50927318
2031-03-30 3 35 30 2031 4877844.77935943 NA 0 4066206.51164401 5943428.74650593 0 6665146.755608
2031-04-06 4 36 6 2031 4986805.19688304 NA 0 3081838.28137352 5678639.4343868 0 6250131.80764556
2031-04-13 4 37 13 2031 6080047.55920684 NA 0 2987337.51089779 6102162.44734133 0 6633206.06301256
2031-04-20 4 38 20 2031 3823476.13360044 NA 0 4268767.17907184 5823707.29377424 0 6330324.91254092
2031-04-27 4 39 27 2031 4672796.87291981 NA 0 3458621.85262553 5924677.10281743 0 6262927.58851894
2031-05-04 5 40 4 2031 614722692.746278 NA 0 4126990.60901204 5200379.67903387 0 5700295.93053819
2031-05-11 5 41 11 2031 120287965.295089 NA 0 3323160.19194133 4711757.78931783 27575.1360586672 5642435.68950126
2031-05-18 5 42 18 2031 18111248.5772115 NA 0 2970127.79411093 2495296.49428368 380607.533889072 3219882.71846236
2031-05-25 5 43 25 2031 234801833.046961 NA 0 4319559.60664436 0 0 676661.634925565
2031-06-01 6 44 1 2031 10392398.0551363 NA 0 2222379.95895444 0 1128355.36904556 811413.218937833
2031-06-08 6 45 8 2031 54916199.0052852 NA 0 3370815.67020697 0 0 563016.050520558
2031-06-15 6 46 15 2031 57340109.9315658 NA 0 3184371.58676594 0 0 368649.811234731
2031-06-22 6 47 22 2031 72455531.8280665 NA 0 2394983.80022579 0 754778.551774205 184437.796569007
2031-06-29 6 48 29 2031 64872610.6399232 NA 0 2483464.58660931 0 666297.765390694 0
2031-07-06 7 49 6 2031 6858588.63915301 NA 0 2893705.52470065 1189750.75572445 59459.0352993517 1189750.75572445
2031-07-13 7 50 13 2031 206702484.167485 NA 0 3332131.32855713 0 0 0
2031-07-20 7 51 20 2031 8247582.24887699 NA 0 3679467.41519157 771186.550834909 0 771186.550834909
2031-07-27 7 52 27 2031 7361227.16530074 NA 0 4139474.10810558 224393.655888616 0 224393.655888616
2031-08-03 8 1 3 2031 5344914.00081137 NA 0 3494109.64218427 1263559.44449171 0 1263559.44449171
2031-08-10 8 2 10 2031 32186171.9952609 NA 0 3640362.97255483 0 0 0
2031-08-17 8 3 17 2031 1995839.63978502 NA 0 2444726.26117538 0 382740.442824615 0
2031-08-24 8 4 24 2031 2254776.39957858 NA 0 2352857.72319117 0 432927.844808832 16281.1222924162
2031-08-31 8 5 31 2031 2908360.01304884 NA 0 2092711.79212405 0 693073.77587595 60680.7747269125
2031-09-07 9 6 7 2031 1810627.80259954 NA 273000.077269996 1467683.55473 67543.8669883808 988980 326794.715267447
2031-09-14 9 7 14 2031 1918415.69369188 NA 749438.905666475 991244.726333525 63028.9693395326 988980 464071.989147883
2031-09-21 9 8 21 2031 1663431.09055579 NA 789042.942643224 951640.689356776 62317.0642053328 988980 408807.278199646
2031-09-28 9 9 28 2031 1382220.61216962 NA 846138.432791197 894545.199208803 9306.71839393135 988980 375516.828380527
2031-10-05 10 10 5 2031 1539698.1526036 NA 847778.773308316 779770.346691684 18322.8842989226 1125720 350082.105613143
2031-10-12 10 11 12 2031 1649599.34304901 NA 675614.116492948 951935.003507052 69490.9892718561 1125720 420556.216805597
2031-10-19 10 12 19 2031 1589511.46442875 NA 684017.936580311 943531.183419689 30268.2423661101 1125720 281673.966274304
2031-10-26 10 13 26 2031 1678071.91624953 NA 827133.206295986 800415.913704014 24141.9498822537 1125720 351875.348099076
