"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "FLAPO" "ALBEN" "CHELA" "JLAKE" "PALIS" "IPARK" "RIRDM" "AMERI" "MINAD" "BOISE" "PAYHS" "OWYHE" "PELTO"
2006-12-10 12 19 10 2006 17489592.8231004 5521334.90136574 761395.600194977 817000 4740955 2423590 8681305.43907218 2219460 1169811.38767355 1761499.98422359 499048 1480467 727854.543782735 1239708.53544599 135205 59960 1427451.66905743 95180 711000 610000 1040542.38143626 554670
2006-12-17 12 20 17 2006 17189332.033423 5726841.7463612 717105.138211564 817000 4434658 2309751 8698654.21942579 2213560 1244073.9251157 1752171 499048 1470073 730741.882018984 1250447.63679673 135205 59960 1502870.61237111 95180 711000 610000 1046475.6236476 554370
2006-12-24 12 21 24 2006 16892989.8326152 5531246 671447.651222349 817000 4216693.49664957 2195911 8813263.60758631 2207659 1301510 1734518 499048 1459680 733582.681136949 1260752.17219458 135205 59960 1557530.44499342 95180 711000 610000 1048425.77125773 551179
2006-12-31 12 22 31 2006 16644754.8136589 5288260.35063615 643618.001827789 817000 3862647.99887025 2083480 8862127 2201758 1287675 1716865 499048 1449287 736366.699166112 1270850.1805555 135205 59960 1610303.85999412 94016.2495570287 711000 610000 1050000 547988
2007-01-07 1 23 7 2007 16477733.2397117 4977203.52555134 473440.531054304 814537.680530598 3561465.94387266 1896933.49588131 8238205.48609968 2179237.32107367 1360436.2379177 1657718 646001.871865784 1438893 742932.76491541 1295609.47592016 127502.906064127 59960 1672590 95180 377460.891304564 610000 1050000 538023.641019343
2007-01-14 1 24 14 2007 16310287.0134414 4512824 308765.46542033 810120.422391621 3253531.88774532 1733222.44187572 7742072.37088833 2161524.66294495 1315203.60492717 1598571 663761.511119802 1428500 749411.856741059 1320072.8242662 129222.966952911 59960 1672590 95180 343924.57209698 610000 1050000 541606
2007-01-21 1 25 21 2007 16139391.0525384 4185416.98698881 200221.426202877 779185 2945597.83161798 1601098.58051495 7553705.22768195 2147767.21987248 1251123.07056595 1539424 604284.064571909 1418107 755819.275363553 1344148.09968998 130840.434247247 59960 1672590 95180 322211.031122089 610000 1050000 538415
2007-01-28 1 26 28 2007 15921655.6062434 3706187 154918.342701645 741641 2637663.77549064 1523413.84202213 7450294 2107940 1160891 1480277 499048 1407713 762151.157400582 1367869.87192261 132522.754958229 59960 1672590 95180 288570.196207626 610000 1050000 535225
2007-02-04 2 27 4 2007 15697039.4813722 3302868 151104.437628187 704096 2329729.71936329 1492606.45200306 7450294 2107940 1129195 1421130 499048 1397320 768139.474149852 1390221.58450497 133114.758143977 59960 1672590 95180 247949.09221776 610000 1050000 532034
2007-02-11 2 28 11 2007 15524563.3878394 2241037.80659695 152958.007203626 670000 2063248.32463771 1466674.72370333 7091088 2102386 1117691 1297560 499048 1386927 773840.543915475 1401000 132750.548173814 59960 1672590 95180 228979.192694397 610000 1050000 528843
2007-02-18 2 29 18 2007 15343593.4144246 2324384.85385547 154177.359940084 626375 1796766.92991213 1440351.81942578 6731882 2096833 1106187 1173990 499048 1376533 779457.763232206 1401000 132654.748287481 59960 1672590 95180 218847.431320745 610000 1050000 525652
2007-02-25 2 30 25 2007 15122676.6824536 2328732.80903876 135418.162789983 582750 1530285.53518654 1413646.64807404 6372675 2003000 1045000 1050419 499048 1366140 784958.166217825 1401000 132719.621623398 59960 1672590 95180 203861.799078809 610000 1047721.32766714 522461
2007-03-04 3 31 4 2007 14953388.6084061 1927300 25000 539025 1263804.14046096 1386775.91833694 6013469 1898000 920000 926849 499048 1355747 790005.457595918 1363651.22700993 133144.719469688 60295.7208771838 1672590 95180 183513.847782318 610000 1041548.21291418 519270
2007-03-11 3 32 11 2007 14785641.9713614 1502300 25000 495440.631857812 1095758.92116897 1379779.91781237 6175320.91135666 1790500 857500 838337 612360.531390671 1345353 794726.598559414 1305858.53742145 133109.695318969 60389.3632346534 1672590 95180 148882.282904192 610000 1041715.53436782 528045
2007-03-18 3 33 18 2007 14617926.1943106 1077300 25000 413115.572291911 927713.701876977 1370767.59760906 5934562.56808531 1683000 795000 749825 637090.676601402 1334960 799384.218286925 1254588.38209078 133510.912529983 60656.3296968807 1672590 95180 124605.372613867 610000 1046509.72231804 535530.077955094
2007-03-25 3 34 25 2007 14452079.2429968 652300 25000 330802.103473536 927713.701876977 1367296.79340553 5644271.7041244 1575500 732500 661312 715184.917643556 1324567 769685.794486565 1135302.0969826 133816.69056255 62501.1709511151 1672590 91662.783648799 68689.823961725 610000 1055196.87550706 545595
2007-04-01 4 35 1 2007 14289907.378165 227300 25000 248525 927713.701876977 1379189.4362225 5496153.52145305 1468000 670000 572800 1053230.60669552 1314173 702719.647880495 985426.28426363 135004.785439981 66887.3062762472 1672590 82527.437638624 75841.8323746257 538328.610087915 1070790.88532732 554370
2007-04-08 4 36 8 2007 14191911.3574064 528484.946057761 54515.8370232612 166200 927713.701876977 1413966.41014083 5174856.86052707 1468000 620000 572800 1015398.12367058 1303780 660690.183555393 869277.094962584 133306.635814469 77196.086429881 1672590 95180 227906.909214203 495479.491024567 1086614.77346621 555345
2007-04-15 4 37 15 2007 14079516.5517335 745162.550693583 64938.2563204475 191341 927713.701876977 1449619.82696231 4853560.19960108 1468000 570000 572800 944975 1293387 648046.202658068 771783.087671698 132399.183280458 88947.9012515115 1672590 95180 278751.304070905 466731.942228324 1097507.00319628 556320
2007-04-22 4 38 22 2007 13997332.1707595 956938.930089888 83499.8147034886 216482 927713.701876977 1521023.13077788 4532263.5386751 1731546.68815051 505000 592932 1025405.10984635 1282993 654856.485575564 830970.692074417 134867.076895078 98632.3036475458 1672590 67787.009577107 405401.67841289 458952.629966927 1107449.41862643 557295
2007-04-29 4 39 29 2007 13914323.1074301 1072279.87678292 95065.6977483139 241624 927713.701876977 1512023.13077788 4210966.87774912 1894056.15508782 444700 613064 1014797.94572681 1272600 622084.079049811 771444.992090047 135205 100422.365853331 1672590 95180 465586.404569463 453152.246374258 1114999.30971595 558270
2007-05-06 5 40 6 2007 13907028.1262983 1241159.77600171 111866.138936709 266765 968506.983690604 1534965.87263498 4210966.87774912 1452800 1100514 572800 797600 1289866.84318593 610480.731550286 706535.97345089 133667.097705312 100500 1672590 95180 503780.804288268 461087.21010209 1117509.68061833 558270
2007-05-13 5 41 13 2007 13922775.2815998 1722161 168812.689830483 283646 1168046.44707762 1676119.45760988 4210966.87774912 1595576.55160213 1137486 700957.886659856 832747 1319648.74666817 619868.629549203 739343.118548084 133530.629111312 100500 1672590 86827.447234816 573567.141073697 482652.994048741 1119185.26434508 558270
2007-05-20 5 42 20 2007 14031865.4501702 2232901.95213973 231832.94347927 283646 1434533.76262473 1917127.71635916 5583647.45522228 1887464.08882003 1174458 941073.791647016 867894 1374993.2955813 650379.008515806 843129.793661297 134959.238709844 100500 1672590 64462.16207855 708092.383009301 528317.2828856 1119999.70960409 558270
2007-05-27 5 43 27 2007 14210774.1076939 2980250.09275638 336508.206883524 283646 1863148.72073385 2210744.52573696 5426758 2233714.21372607 1211430 1257295 961474.6 1438360 690583.216772744 961713.199269935 135205 100500 1672590 64904.818782246 782493.565513161 597572.678221078 1120000 558270
2007-06-03 6 44 3 2007 14413978.2730157 3860149.07374635 452401.146944191 332193.262281821 2296093.60700848 2474633.7274359 5595353 2581105.3361637 1347951.64703746 1418353 1358418.87579416 1479800 721315.499135112 1046651.10179259 135205 100175.040967838 1672590 18764.820744667 871716.665586793 677635.4278091 1117523.44407917 558270
2007-06-10 6 45 10 2007 14636659.9536617 4562264.03913451 568752.043598205 392319.540488482 2733397.54510314 2759360.79796018 6404062.96413471 2885669.33633729 1409555.38054367 1511765 1531162.15209711 1512500 701876.391646441 1018444.35551405 131561.289957505 97475.3715563383 1518514.61213514 95180 918058.714035248 745637.859077791 1097524.18711519 558270
2007-06-17 6 46 17 2007 15133993.3405239 5169464.88449343 790180.950370902 417612 3340815.13081559 3036462.59555737 7395884.84570871 3137747.94623116 1420000 1605177 1540000 1545200 660049.382686354 957752.071672572 123721.141294085 91666.5093578095 1369543.56060597 95180 937911.154935448 777362.934773961 1075618.66414188 558270
2007-06-24 6 47 24 2007 15770360.4675888 5855038.09314022 984667.614220397 442753 4099338.49863671 3071500 8228506.6 3341314.42104512 1366815 1698588 1540000 1577900 605189.877140749 878149.232149573 113438.152149685 84047.7167183948 1151559.68913493 95180 964304.366579186 753933.197526587 1050738.12592619 558270
2007-07-01 7 48 1 2007 16299170.1516713 6411437.02491512 1094315.61526299 467894 4797057.62030124 3071500 9107400 3468000 1420000 1792000 1540000 1610600 554485.844377718 804576.112175878 103934.074172787 77006.0289058337 890083.92963772 95180 986402.769205236 737676.006481416 1032878.02439497 558270
2007-07-08 7 49 8 2007 16739767.4191093 6647624.75266806 1214586.13961414 493035 5316958.09220896 3053069 9107400 3353678 1420000 1792000 1540000 1626950 493839.393485685 716576.235946869 92566.3669729704 68583.5553697071 624166.231200242 95180 1011000 724364.705497367 1015400.79000701 558270
2007-07-15 7 50 15 2007 17710822.8062542 6881565.82969593 1327254.61345887 518176 5782462.99159793 3034638 9107400 3239356 1420000 1792000 1540000 1643300 437073.597232745 634207.309639984 81926.0584095449 60700.0203950273 420416.486329051 95180 946709.448786705 702498.900066231 987646.496887649 558270
2007-07-22 7 51 22 2007 18681229.2300313 7155459.18964557 1424900 543318 5869400 3016208 9107400 3125033 1420000 1792000 1540000 1659650 390631.701544876 566818.682403598 73220.8849951275 54250.2507606099 245516.557075332 95180 887191.943864938 676730.664145143 960711.944794099 558270
2007-07-29 7 52 29 2007 19238052.907953 7327300 1424900 568459 5869400 2997777 8873258 3010711 1420000 1792000 1540000 1676000 357418.698022231 518625.586910017 66995.364891007 49637.6866433334 31500.7083191389 95180 854799.2963798 663541.82209368 942873.017188562 552777.191046763
2007-08-05 8 1 5 2007 19534598.8190714 7327300 1424900 593600 5770433 2979346 8756187 2896389 1392402 1792000 1540000 1668917 317472.80029637 460662.853658067 59507.8159495232 44090.0698986729 0 95180 814766.819456736 645672.075545736 922274.060472997 558270
2007-08-12 8 2 12 2007 19787308.9630759 7221921 1386299 638280 5671467 2960915 8639117 2782067 1392402 1792000 1540000 1661833 285362.516814988 414069.839054944 53488.9921708773 39630.6496212863 0 95180 776628.884518756 627324.715497518 902227.137494769 558270
2007-08-19 8 3 19 2007 19984835.9653847 7327300 1424900 682960 5572500 2942485 8522046 2667744 1357877.25688893 1792000 1540000 1654750 263325.378168228 382093.269200778 49358.3013229644 36570.1701647932 0 95180 751542.533368206 611995.709854266 891321.604938833 558270
2007-08-26 8 4 26 2007 20073116 7321562 1423330 711282 5473533 2924054 8404975 2553422 1392402 1792000 1540000 1647667 254459.527528524 369228.645674039 47696.4663323417 35338.896260223 0 95180 735398.116723828 604319.323889946 886505.682970699 558270
2007-09-02 9 5 2 2007 20071231 7315823 1421759 711282 5374567 2905623 8287904 2439100 1392402 1792000 1540000 1640583 241415.096855583 350300.773262505 45251.3888991661 33527.3084340486 0 95180 704599.207217807 593104.751409912 875726.126243031 558270
2007-09-09 9 6 9 2007 20040487 7239906 1410701 737712 5275600 2887192 8378948 2387014 1335075 1792000 1482126 1633500 225746.86779845 327565.688233208 42314.5007937396 31351.3320553714 0 95180 668265.293990972 578401.423025324 863775.645726724 558270
2007-09-16 9 7 16 2007 19923867.0387303 7163989 1328910.5066313 764141 5176633 2868762 8469992 2334849 1250150 1792000 1424251 1617133 212544.014556898 308407.939774115 39839.7282778789 29517.7427786255 0 95180 635591.836994143 556574.815447048 854468.820714043 558270
