CellID GWFraction ReturnFlowFraction NumCrops Long Lat Area StnName StnID
258157 0.35 0 6 -114.21875 42.40625 35.6265671019202 SNKHI 64
258158 0.35 0 9 -114.15625 42.40625 35.6265671019202 SNKHI 64
258159 0.35 0 9 -114.09375 42.40625 35.6265671019202 SNKHI 64
258160 0.35 0 10 -114.03125 42.40625 35.6265671019202 SNKHI 64
258161 0.35 0 9 -113.96875 42.40625 35.6265671019202 SNKHI 64
258162 0.35 0 11 -113.90625 42.40625 35.6265671019202 MILNE 63
258163 0.35 0 11 -113.84375 42.40625 35.6265671019202 MILNE 63
258164 0.35 0 11 -113.78125 42.40625 35.6265671019202 MILNE 63
258165 0.35 0 12 -113.71875 42.40625 35.6265671019202 MILNE 63
258166 0.35 0 7 -113.65625 42.40625 35.6265671019202 MILNE 63
258167 0.35 0 8 -113.59375 42.40625 35.6265671019202 MILNE 63
258168 0.35 0 8 -113.53125 42.40625 35.6265671019202 MILNE 63
258170 0.35 0 7 -113.40625 42.40625 35.6265671019202 MINAD 51
258171 0.35 0 7 -113.34375 42.40625 35.6265671019202 MINAD 51
258172 0.35 0 9 -113.28125 42.40625 35.6265671019202 MINAD 51
258173 0.35 0 5 -113.21875 42.40625 35.6265671019202 MINAD 51
258184 0.35 0 6 -112.53125 42.40625 35.6265671019202 AMERI 50
259015 0.35 0 2 -118.59375 42.46875 35.5910517478507 OWYHE 65
259074 0.35 0 6 -114.90625 42.46875 35.5910517478507 SNKHI 64
259075 0.35 0 8 -114.84375 42.46875 35.5910517478507 SNKHI 64
259076 0.35 0 7 -114.78125 42.46875 35.5910517478507 SNKHI 64
259077 0.35 0 4 -114.71875 42.46875 35.5910517478507 SNKHI 64
259078 0.35 0 3 -114.65625 42.46875 35.5910517478507 SNKHI 64
259079 0.35 0 11 -114.59375 42.46875 35.5910517478507 SNKHI 64
259080 0.35 0 9 -114.53125 42.46875 35.5910517478507 SNKHI 64
259081 0.35 0 9 -114.46875 42.46875 35.5910517478507 SNKHI 64
259082 0.35 0 11 -114.40625 42.46875 35.5910517478507 SNKHI 64
259083 0.35 0 11 -114.34375 42.46875 35.5910517478507 SNKHI 64
259084 0.35 0 10 -114.28125 42.46875 35.5910517478507 SNKHI 64
259085 0.35 0 9 -114.21875 42.46875 35.5910517478507 SNKHI 64
259086 0.35 0 9 -114.15625 42.46875 35.5910517478507 SNKHI 64
259087 0.35 0 9 -114.09375 42.46875 35.5910517478507 SNKHI 64
259088 0.35 0 10 -114.03125 42.46875 35.5910517478507 SNKHI 64
259089 0.35 0 10 -113.96875 42.46875 35.5910517478507 SNKHI 64
259090 0.35 0 10 -113.90625 42.46875 35.5910517478507 SNKHI 64
259091 0.35 0 10 -113.84375 42.46875 35.5910517478507 MILNE 63
259092 0.35 0 9 -113.78125 42.46875 35.5910517478507 MILNE 63
259093 0.35 0 8 -113.71875 42.46875 35.5910517478507 MILNE 63
259094 0.35 0 8 -113.65625 42.46875 35.5910517478507 MILNE 63
259095 0.35 0 8 -113.59375 42.46875 35.5910517478507 MILNE 63
259096 0.35 0 3 -113.53125 42.46875 35.5910517478507 MILNE 63
259098 0.35 0 8 -113.40625 42.46875 35.5910517478507 MINAD 51
259099 0.35 0 12 -113.34375 42.46875 35.5910517478507 MINAD 51
259100 0.35 0 13 -113.28125 42.46875 35.5910517478507 MINAD 51
259101 0.35 0 8 -113.21875 42.46875 35.5910517478507 MINAD 51
