Long Lat CellID StnID WRIA_ID StnNum ConveyanceLoss GridArea GW_historical GW_Future ReturnFlow
-117.21875 48.40625 347197 ALBEN 62 1 0.2 32.0301855910087 0.2 0.2 0
-117.15625 48.40625 347198 ALBEN 62 1 0.2 32.0301855910087 0.2 0.2 0
-117.09375 48.40625 347199 ALBEN 62 1 0.2 32.0301855910087 0.2 0.2 0
-117.03125 48.40625 347200 ALBEN 62 1 0.2 32.0301855910087 0.2 0.2 0
-116.96875 48.40625 347201 ALBEN NA 1 0.2 32.0301855910087 0.2 0.2 0
-116.90625 48.40625 347202 ALBEN NA 1 0.2 32.0301855910087 0.2 0.2 0
-116.84375 48.40625 347203 ALBEN NA 1 0.2 32.0301855910087 0.2 0.2 0
-116.78125 48.40625 347204 ALBEN NA 1 0.2 32.0301855910087 0.2 0.2 0
-116.71875 48.40625 347205 ALBEN NA 1 0.2 32.0301855910087 0.2 0.2 0
-116.65625 48.40625 347206 ALBEN NA 1 0.2 32.0301855910087 0.2 0.2 0
-116.59375 48.40625 347207 ALBEN NA 1 0.2 32.0301855910087 0.2 0.2 0
-116.53125 48.40625 347208 ALBEN NA 1 0.2 32.0301855910087 0.2 0.2 0
-116.46875 48.40625 347209 ALBEN NA 1 0.2 32.0301855910087 0.2 0.2 0
-116.40625 48.40625 347210 ALBEN NA 1 0.2 32.0301855910087 0.2 0.2 0
-116.34375 48.40625 347211 ALBEN NA 1 0.2 32.0301855910087 0.2 0.2 0
-116.28125 48.40625 347212 ALBEN NA 1 0.2 32.0301855910087 0.2 0.2 0
-116.21875 48.40625 347213 ALBEN NA 1 0.2 32.0301855910087 0.2 0.2 0
-117.46875 48.34375 346265 ALBEN 62 1 0.2 32.0695284940466 0.2 0.2 0
-117.40625 48.34375 346266 ALBEN 62 1 0.2 32.0695284940466 0.2 0.2 0
-117.34375 48.34375 346267 ALBEN 62 1 0.2 32.0695284940466 0.2 0.2 0
-117.28125 48.34375 346268 ALBEN 62 1 0.2 32.0695284940466 0.2 0.2 0
-117.21875 48.34375 346269 ALBEN 62 1 0.2 32.0695284940466 0.2 0.2 0
-117.15625 48.34375 346270 ALBEN 62 1 0.2 32.0695284940466 0.2 0.2 0
-117.09375 48.34375 346271 ALBEN 62 1 0.2 32.0695284940466 0.2 0.2 0
-117.03125 48.34375 346272 ALBEN 62 1 0.2 32.0695284940466 0.2 0.2 0
