"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1991-09-15 9 7 15 1991 1969029.9925964 510412.485680466 422891.779660921 1335198.68865908 111974.120845459 998869.8
1991-09-22 9 8 22 1991 2016720.70640307 594984.347143095 667712.920802935 1090377.54751707 113358.676096423 998869.8
1991-09-29 9 9 29 1991 1613730.74687318 363703.31508364 706458.518444858 1051631.94987514 52598.1845273845 998869.8
1991-10-06 10 10 6 1991 1459407.58665785 308875.619761896 726700.307243392 917124.303956608 24565.5138310798 1136977.2
1991-10-13 10 11 13 1991 1282535.95929094 299899.534248196 711632.767671279 932191.843528721 13284.5966078439 1136977.2
1991-10-20 10 12 20 1991 1184133.75887714 294355.860369418 728447.056214669 915377.554985331 1823.89465023371 1136977.2
1991-10-27 10 13 27 1991 1195439.94789298 369398.369448228 739758.25056906 904066.36063094 10050.4606219798 1136977.2
1991-11-03 11 14 3 1991 1058078.50487562 335023.100463632 777998.818478444 865825.792721556 0 1215131
1991-11-10 11 15 10 1991 1075158.75215573 133196.920897223 295422.283742477 1687190.57049752 0 1215131
1991-11-17 11 16 17 1991 1280992.73892731 227093.817124331 827983.455969242 1154629.39827076 0 1117706.4
1991-11-24 11 17 24 1991 1098681.07703161 175932.373556647 728597.75782551 1254015.09641449 0 1117706.4
1991-12-01 12 18 1 1991 1176994.7704531 350812.470717453 747906.19759311 1234706.65664689 4323.61775527449 1008505.2
1991-12-08 12 19 8 1991 1616895.99801106 589070.668934223 571457.888456427 1737915.22386357 244308.389263826 1008505.2
1991-12-15 12 20 15 1991 1577729.86075933 553250.285182188 521573.450055037 1787799.66226496 216891.102715421 1008505.2
1991-12-22 12 21 22 1991 1642064.78062017 327471.449545001 507700.840081942 1801672.27223806 89838.8729733673 1008505.2
1991-12-29 12 22 29 1991 1642827.88031976 314781.149343598 381499.209078886 1927873.90324111 108548.72257014 1008505.2
1992-01-05 1 23 5 1992 2534222.51369513 3155535.7875871 929398.324097901 1369951.4674221 2086667.1748502 1020281.8
1992-01-12 1 24 12 1992 1641582.71617233 1123282.78673437 771149.121280824 1528200.67023918 395792.634265822 1020281.8
1992-01-19 1 25 19 1992 1413299.59739101 264711.101633039 831443.81679716 1467905.97472284 5553.02904100198 1020281.8
