"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "FLAPO" "ALBEN" "CHELA" "JLAKE" "PALIS" "IPARK" "RIRDM" "AMERI" "MINAD" "BOISE" "PAYHS" "OWYHE" "PELTO"
1994-06-12 6 46 12 1994 15496006.0480914 5881780.51676881 672717.877367104 417612 5142613.09073854 2704807.08497192 8558914.45671586 3306538.78106797 1327344 1294668.16283142 1459091.7868858 1545200 654516.146745553 1216950.8957007 120282.907131173 58692.3924421616 1314330.42475218 95180 990631.284572288 794032.591705733 399090.184561053 558270
1994-06-19 6 47 19 1994 15906940.1924117 6383302.50721384 730050.023023332 442753 5387970.85761644 2817173.94146005 8731017.0211232 3390416.51691041 1343644.10787359 1360865.22314711 1511182.72297015 1577900 620238.175417465 1153217.39100729 113983.514729011 55618.5856990999 1129438.29526516 95180 997158.681771605 778038.864767777 398053.179481216 558270
1994-06-26 6 48 26 1994 16271542.261113 6604092.04651153 777855.990286176 467894 5653636.82143954 2879096.83902133 9107400 3413078.16051434 1272746.90836224 1331709.33215239 1540000 1610600 570630.869370766 1060981.84292035 104866.992522627 51170.1523197731 839064.883879397 95180 1004129.51032333 755347.74319521 394728.778476751 551910.458042288
1994-07-03 7 49 3 1994 17015232.6371633 7034322.61986818 896441.190960977 493035 5752127 2925021.25685439 9107400 3353541.6829114 1184839.7076994 1357255.27715654 1540000 1626950 512697.021454284 953264.640733803 94220.2702326744 45975.0533837027 531288.866190018 95180 1011000 742150.237660023 390424.542845102 547030.547049426
1994-07-10 7 50 10 1994 17650531.7358056 7255512 1015440.22739889 518176 5869400 2950073.47141548 9107400 3239356 1131594.08295565 1364116.51945176 1540000 1643300 454503.482757803 845064.59189955 83525.8235861438 40756.6672098017 294853.195194945 95180 935672.962977255 714357.087249368 388140.917217502 546728.57045744
1994-07-17 7 51 17 1994 18109292.2698267 7260373.91678757 1082716.14961604 543318 5864091.02708427 2963385 8967907 3124591.03191457 992486.437224892 1381658.17759303 1540000 1659650 401875.744829122 747213.113170625 73854.2251920094 36037.3827991541 63665.284044615 95180 857567.45798324 679446.258844931 387002.149578804 542148.171915413
1994-07-24 7 52 24 1994 18392114.7432867 7279383.89139352 1082655.15362669 568459 5855751.38585044 2927346 8828415 3009043.30759036 690579.577202758 1458959.85935467 1540000 1676000 372994.043411417 693512.967521964 68546.5257155493 33114.1352283831 0 95180 789586.271721725 654904.874701614 384604.472638714 534333.632074026
1994-07-31 7 52 31 1994 18422415.9163229 7261718.83586672 1020681.61775261 568459 5836793.02524469 2927346 8828415 3005181.96227416 451091.122869056 1490811.19340623 1540000 1676000 345024.554252688 641508.910703427 63406.4669351604 30631.0246730508 0 95180 749001.056901177 639162.429819996 381365.386505398 525883.61175274
1994-08-07 8 1 7 1994 18669566.3568541 7116541 1041042.66576745 593600 5770433 2932088.36032638 8756187 2896389 377478.458866628 1493771.55523539 1540000 1668917 319008.824782346 593137.506210716 58625.4579602247 28321.3674574376 0 95180 703979.734078441 617291.476246974 382847.585964623 532524.709123509
1994-08-14 8 2 14 1994 18736130.7020678 7221921 948090.356857271 638280 5671467 2936413.17846938 8639117 2782067 334104.320849546 1493299.97619126 1540000 1661833 297334.814398454 552838.719876332 54642.3431186298 26397.1648502611 0 95180 668085.5230423 599330.390661983 380852.238618144 535157.660589972
1994-08-21 8 3 21 1994 19065928.5395772 7327300 943545 682960 5572500 2939483.6160367 8522046 2667744 322948.647242835 1483733.39880445 1540000 1654750 289136.657276774 537595.773308962 53135.7367856662 25362.8523995331 0 95180 645198.153248351 591878.715555138 377427.502235359 536064.505677295
1994-08-28 8 4 28 1994 19359117.054207 7321562 964570 711282 5473533 2924054 8404975 2553422 293347.68028072 1490778.34556312 1540000 1647667 277399.174923619 515772.110540721 50978.6952720865 23736.9070618353 0 95180 604486.620655646 566794.699114005 373829.427207911 540855.820230941
1994-09-04 9 5 4 1994 19484323 7315823 985594 711282 5374567 2905623 8287904 2439100 312579.910598964 1499049.21201328 1540000 1640583 261843.738299709 486849.672757314 48120.0138657956 22405.8362194303 0 95180 564491.939490297 550677.563047122 370983.816625099 547525.697921379
1994-09-11 9 6 11 1994 19461067 7239906 987082 737712 5275600 2887192 8378948 2387014 373915.890801055 1509088.84064349 1482126 1633500 244796.474269749 455153.459709463 44987.1736962263 20947.1104606059 0 95180 544501.842624543 540442.668050477 369228.397167841 554705.915612134
1994-09-18 9 7 18 1994 19437811 7163989 988570 764141 5176633 2868762 8469992 2334849 448915.023019483 1506992.84406276 1424251 1617133 232310.193365048 431937.54547037 42692.5226414865 19960 0 95180 537517.030867995 536101.530356839 371009.871759595 558270
1994-09-25 9 8 25 1994 19414554 7088071 990057 790571 5077667 2801321 8561036 2282683 504972.798964022 1512969.55850472 1366377 1600767 226308.829147007 420779.126236733 41589.6292468952 19394.9080197489 0 95180 529802.904041024 530482.41736832 367367.58510097 554058.531698619
1994-10-02 10 9 2 1994 19391298 7012154 991545 793984.579571007 5072610.33307043 2726227 8652080 2230518 522104.758623911 1516588.64566088 1308502 1584400 221096.245955644 411087.298441215 40631.6931241001 19736.7458818996 0 95180 516376.138373815 521151.089246428 366918.529470691 555052.515128969
1994-10-09 10 10 9 1994 19233759.0851439 6937496 968075.555572502 793096.256146325 5084172.7781468 2728305.46942905 8743124 2219970.84745388 715343.936677003 1493301.80639683 1199292 1574007 220706.922258075 410363.423522576 40560.1456360947 19960 0 95180 509095.975626864 516905.486185755 368751.654935655 540227.260143047
1994-10-16 10 11 16 1994 19057596.449598 6862838 939086.897656719 788437.950664031 5084601.39198298 2731356.6795199 8834168 2212918.42690993 914910.482401051 1476832.01786468 1090082 1563613 219371.647214572 407880.728224258 40314.757092434 19960 0 95180 497513.337152642 511206.149822927 368790.06608534 529103.527643069
1994-10-23 10 12 23 1994 18902606.3250586 6788181 916013.027775042 795068.55702805 5087291.15170019 2732447.35835668 8925212 2207111.37853108 986837.728840176 1454003.02244018 980873 1553220 217898.172324157 405141.076045166 40043.9710403479 19960 0 95180 490399.381055012 503712.627654965 369465.06730306 528041.963704403
1994-10-30 10 13 30 1994 18754949.1912501 6713523 896458.663576497 800597.934429068 5109849.55240478 2736719.55068703 8943846 2218552.35164729 941054.05828469 1441605.16972267 871663 1542827 213958.2556325 397815.534619275 39319.9176523855 19960 0 95180 482917.891273681 501997.765233043 368358.904168138 556470
1994-11-06 11 14 6 1994 18610330.046216 6638865 882905.01412942 817000 5113498.99500949 2739498.6481292 8943846 2232303 895270.387729204 1423008.47674638 762453 1532433 213881.20376204 397672.271014187 39305.7575388041 19960 0 95180 482113.029067754 501942.074936716 368572.648276416 556170
1994-11-13 11 15 13 1994 18438978.9682515 6e+06 865375.709248834 817000 5098489.44542554 2711956 8904440 2228388.57841503 957437.089263053 1421014.12494643 743019.073079354 1522040 217548.340117801 425596.162145431 45584.1479493657 20640.466425553 47705.9502433176 95180 493393.04737807 507718.823071299 368703.069751726 555870
1994-11-20 11 16 20 1994 18059571.7179837 6e+06 791807.163839088 817000 5081225.09012299 2653781 8802960 2220804.78586757 1019602.7907969 1422716.44351654 630751 1511647 221149.799140686 451899.765227401 51724.272284288 21538.8703901102 103366.848809672 95180 500190.669872222 508758.934600291 368759.310414949 543448.412076333
1994-11-27 11 17 27 1994 17721960 6e+06 730769 817000 5062072.43722609 2595605 8701480 2212172.13830888 1014362.64331743 1424546.22669858 564899 1501253 224699.59389836 472645.377340553 57525.2391151645 23022.9817384349 137566.990877388 94690.8978246509 505851.610062815 508170.057893273 368774.046516082 523488.781892769
1994-12-04 12 18 4 1994 17456820 6e+06 693033 817000 5047252 2537430 8600000 2212048.68716402 1033474.36018746 1430684.99108007 499048 1490860 229470.145821688 493766.642027962 63660.5796564067 24161.8894488059 177421.327633929 95140.1137489424 515143.159501812 514030.147386556 368834.528432023 520008.082286157
1994-12-11 12 19 11 1994 17297854.1861846 4647965.61699222 699923.374515372 817000 4740955 2423590 8628571 2210215.88704073 1137989.8859385 1437741.75256535 499048 1480467 235135.773084397 515506.848309962 69993.4106822402 24942.5306640033 230716.812075725 95180 522947.40359484 519506.054420999 368890.756637729 500136.401170428
1994-12-18 12 20 18 1994 17023984.0002376 4e+06 658640.747920803 817000 4434658 2309751 8657143 2205382.73724007 1164310.99856481 1444475.49690977 499048 1470073 240726.894463553 536602.726634277 76272.6760367961 25599.1310153583 269934.481052516 95180 528758.904749808 523424.51743872 368897.301118336 481120.930794362
1994-12-25 12 21 25 1994 16563032.7520002 4e+06 539739.554963171 817000 4150912.64888101 2195911 8685714 2201718.57004546 1195661.35062009 1451306.82168169 499048 1459680 246244.416437369 557396.622379772 82513.7535887901 26144.008472967 308613.908196559 95180 534536.853826235 527212.597948935 368929.708930477 494695.949138765
1995-01-01 1 22 1 1995 16187164.3331389 4e+06 452013.202504223 817000 3824910.46586311 2082072 8714286 2199160.06211899 1233088.51048047 1458428.1697882 499048 1449287 251671.916453276 577226.273691706 88698.2034386872 26597.3713968264 346266.386599434 95180 540020.694939564 529874.701583614 368972.452109238 491486.155571039
1995-01-08 1 23 8 1995 15951296.7800069 4264156.58071611 434068.632246609 810693 3794292.39709449 2025283.1656695 7450294 2107940 1192835.48256881 1464721.34130182 499048 1438893 256890.247541305 593342.57079257 94729.3021112372 27271.1340513109 376175.743750846 93886.3957625669 542844.571672462 527742.567223839 368998.298084728 455894.611047882
1995-01-15 1 24 15 1995 15556776 4512824 358382 804386 3741058 1907632 7450294 2107940 1224283 1471107.27911157 499048 1428500 262045.038236597 609267.039503874 100722.778799716 27811.8139403123 422841.934887796 95180 569691.983564838 540384.097627516 369942.16953671 477769.96741027
