"date" "month" "week" "day" "year" "FirmEnergy" "NonFirmEnergy" "ColFallsFlow" "LowerGraniteFlow" "VernitaBarFlow" "McNaryFlow" "GCRec" "DallesFlood" "IHNav" "BonnevillFlow" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "TotalSysEnergy" "BonnevilleFlow"
1987-03-15 3 33 15 1987 0 517396.198148177 0 0 0 0 0 0 46160.8483049727 0 16490878.4393199 65161509.28 NA 2436128.34985182 0
1987-03-22 3 34 22 1987 0 373663.279136193 0 0 0 0 0 0 49784.4027839126 0 16128712.9962193 65161509.28 NA 2602099.00886381 0
1987-03-29 3 35 29 1987 0 692085.093844554 0 0 0 0 0 0 63699.4123607814 0 15809825.4874305 65161509.28 NA 2283677.19415545 0
1987-04-05 4 36 5 1987 0 1164875.51742226 0 0 0 0 0 0 79011.3673927513 0 19683072.7520945 60090304.4 NA 1741179.94257774 0
1987-04-12 4 37 12 1987 0 581796.797345982 0 32651.3943931408 29642.6743296506 0 0 0 52242.3012681693 0 19717289.2253063 60090304.4 NA 2324258.66265402 0
1987-04-19 4 38 19 1987 0 771334.725778854 0 35890.1278677767 10998.9830870876 0 0 0 54333.5148891327 0 19533181.3062462 66411943.36 NA 2315338.99022115 0
1987-04-26 4 39 26 1987 0 905662.470439794 0 38297.7673656257 28133.016212211 10157.2439493574 0 0 59980.3058534842 0 19031366.7565143 66411943.36 NA 2181011.24556021 0
1987-05-03 5 40 3 1987 0 0 0 0 0 0 0 0 30870.0596775672 0 19149899.3247476 73497736.48 NA 3792958.92169624 0
1987-05-10 5 41 10 1987 0 0 0 7652.60481049905 0 0 18.5415223735038 0 21843.6026152528 0 19173320.0937246 73497736.48 NA 3356642.17457584 0
1987-05-17 5 42 17 1987 0 0 0 38321.0007141924 0 0 4.88876711410967 0 53604.9834654412 0 17115668.1806885 73497736.48 NA 3456678.69094218 0
1987-05-24 5 43 24 1987 0 438742.674055275 0 62308.5667076422 0 0 1.52306308324273 0 81844.8533343397 0 15023829.6115173 73497736.48 NA 2910741.85394473 0
1987-05-31 5 44 31 1987 371731.663672773 1249549.2 0 65304.2998799851 49579.7176226049 40912.3075859109 0 0 89674.05177927 0 13385903.8481464 60413630.5149729 NA 1726103.72899923 0
1987-06-07 6 45 7 1987 27047.8939294552 1070588.34 0 28693.6901161693 49301.0860070976 18873.3632248322 0 0 46924.4872777492 0 11835620.7534706 71714172.4501491 NA 2048976.35571854 0
1987-06-14 6 46 14 1987 0 1070588.34 0 43890.7811746317 48023.8480563863 6239.48012233846 0 0 62972.9684943715 0 9870259.61603023 72718139.738457 NA 2077661.13538448 0
1987-06-21 6 47 21 1987 7376.09968055203 1070588.34 0 49657.9636173336 44119.5424557285 20237.6261931379 0 0 70152.1156320074 0 8072418.44455568 72402685.2488607 NA 2068648.14996745 0
1987-06-28 6 48 28 1987 0 405143.873243309 0 20605.8915163194 0 0 0 0 72172.3003440632 0 5976930.06947561 72733582.32 NA 2743546.81875669 0
1987-07-05 7 49 5 1987 394089.674621585 897981.12 0 29130.4161092954 0 32097.8118344862 0 0 81495.9114715099 0 5273692.71204243 58034921.0286445 NA 1658140.60081841 0
1987-07-12 7 50 12 1987 203957.910658107 897981.12 0 23660.5300329581 1578.77596796904 55975.3225530171 0 0 75220.1889749875 0 4390030.63442341 64689532.7673662 NA 1848272.36478189 0
1987-07-19 7 51 19 1987 0 743313.733880917 0 20447.6338427145 0 0 0 0 72604.6448619133 0 3201563.14991166 71899959.6 NA 2208951.94611908 0
1987-07-26 7 52 26 1987 0 748485.332423038 0 6919.57356647249 0 16719.8596768533 0 0 61530.0965188262 0 3005233.3457351 71899959.6 NA 2203780.34757696 0
1987-08-02 8 1 2 1987 0 613767.086510394 0 19113.0301172588 0 9095.18476165709 0 0 68304.4947755645 0 2967517.8043711 67315034.64 NA 2212795.43748961 0
1987-08-09 8 2 9 1987 0 893889.774780167 0 25223.0673185606 0 41345.4410047283 0 0 76229.5322795131 0 3045494.65906145 67315034.64 NA 1932672.74921983 0
