"date" "month" "week" "day" "year" "TotalFloodSpace" "TotalRelReducReq" "TotalMcNarySharedWater" "TotalBONSharedWater" "GCSupForVernitaBar" "BRLGSup" "BRRelForJBandLP" "DWLGSup" "DWFirmEngSup" "GCFirmEngSup" "TotalEnergySup" "UpstreamFloodEvacGC" "TotalFloodRelSharedWater" "GCMinFloodRelReq" "ARMinFloodRelReq" "ControlledFlow" "BRIn" "GCIn"
1985-03-24 3 34 24 1985 1470113.69633795 0 343991.721533954 343991.721533954 162289.810735831 0 74475.211711427 0 NA 0 NA NA 1.86264514923096e-09 0 0 10000002082.365 267585.286150431 604588.810735831
1985-03-31 3 35 31 1985 1647994.23890848 0 235131.839437105 235131.839437105 60437 0 64538.47561045 0 NA 11757.8787540981 NA NA 0 0 0 10000002043.6892 284219.790881436 694166.450344038
1985-04-07 4 36 7 1985 1481222.60827947 0 60447.2000000053 60447.2000000053 348 0 69834.195261361 0 NA 55355.1276755987 NA NA 0 0 0 363340.996528255 282883.902053187 629227.893826193
1985-04-14 4 37 14 1985 1374573.84103762 0 28083.2499567412 28083.2499567412 0 240047.737601683 44735.4644541319 0 NA 0 NA NA 0 0 0 363340.996528255 442473.144503989 800102.778852051
1985-04-21 4 38 21 1985 1413196.13771488 0 87866.8000000017 87866.8000000017 0 0 32618.2412404269 0 NA 0 NA NA 34988.0197741129 0 34988.0197741129 364606.945115212 441098.300284153 1473726.41759168
1985-04-28 4 39 28 1985 1093258.47512244 614619.104326788 87866.7999999954 87866.7999999954 0 0 35561.7354516999 0 NA 0 NA NA 87866.7999999954 0 0 367589.97847673 816354.203735057 2123251.80323097
1985-05-05 5 40 5 1985 1711804.88958109 0 4131036.74926154 4131036.74926154 1153636.18713295 88340.2623810935 54900.1393764339 263014.770896552 NA 0 NA NA 2773504.21734354 808184.594707733 36699.6133670241 374465.31826187 185452.60689321 663458.202639849
1985-05-12 5 41 12 1985 2256309.98913229 0 3617057.06536683 3617057.06536683 1106596.86910773 1287.65351471171 76190.587014179 3423.06261194445 NA 0 NA NA 2166221.01408291 1146611.63379209 61815.7417941728 363340.996528255 163908.864427569 2008430.94273103
1985-05-19 5 42 19 1985 1766208.13317198 46492.3337252289 1738909.26125947 1738909.26125947 633227.71180402 44509.6444450328 54929.3386402411 89834.0569359339 NA 0 NA NA 857381.88278122 0 0 363340.996528255 358618.356697171 1393110.59944052
1985-05-26 5 43 26 1985 2059105.93779249 0 788261.26267005 788261.26267005 788261.26267005 5979.98764512226 48467.167725095 14186.8898184986 NA 0 NA NA 0 0 0 363340.996528255 94903.2483112289 946204.879168983
