"date" "month" "week" "day" "year" "GC_VDL_df[1, ]"
1983-07-03 7 49 3 1983 9107400
1983-07-10 7 50 10 1983 9107400
1983-07-17 7 51 17 1983 9107400
1983-07-24 7 52 24 1983 9107400
1983-07-31 7 52 31 1983 9107400
1983-08-07 8 1 7 1983 9107400
1983-08-14 8 2 14 1983 9107400
1983-08-21 8 3 21 1983 9107400
1983-08-28 8 4 28 1983 9107400
1983-09-04 9 5 4 1983 9107400
1983-09-11 9 6 11 1983 9107400
1983-09-18 9 7 18 1983 9107400
1983-09-25 9 8 25 1983 9107400
1983-10-02 10 9 2 1983 9107400
1983-10-09 10 10 9 1983 9107400
1983-10-16 10 11 16 1983 9107400
1983-10-23 10 12 23 1983 9107400
1983-10-30 10 13 30 1983 9107400
1983-11-06 11 14 6 1983 9107400
1983-11-13 11 15 13 1983 9107400
1983-11-20 11 16 20 1983 9107400
1983-11-27 11 17 27 1983 9107400
1983-12-04 12 18 4 1983 9107400
1983-12-11 12 19 11 1983 9107400
1983-12-18 12 20 18 1983 9107400
1983-12-25 12 21 25 1983 9107400
1984-01-01 1 22 1 1984 9107400
1984-01-08 1 23 8 1984 7450294
1984-01-15 1 24 15 1984 7450294
1984-01-22 1 25 22 1984 7450294
1984-01-29 1 26 29 1984 7450294
1984-02-05 2 27 5 1984 7450294
1984-02-12 2 28 12 1984 7091088
1984-02-19 2 29 19 1984 6731882
1984-02-26 2 30 26 1984 6372675
1984-03-04 3 31 4 1984 6013469
1984-03-11 3 32 11 1984 5698197
1984-03-18 3 33 18 1984 5679362
1984-03-25 3 34 25 1984 5705147
1984-04-01 4 35 1 1984 5741839
1984-04-08 4 36 8 1984 5752550
1984-04-15 4 37 15 1984 5436800
1984-04-22 4 38 22 1984 5121050
1984-04-29 4 39 29 1984 4805300
1984-05-06 5 40 6 1984 4805300
1984-05-13 5 41 13 1984 4805300
1984-05-20 5 42 20 1984 9107400
1984-05-27 5 43 27 1984 9107400
1984-06-03 6 44 3 1984 9107400
1984-06-10 6 45 10 1984 9107400
1984-06-17 6 46 17 1984 9107400
1984-06-24 6 47 24 1984 9107400
1984-07-01 7 48 1 1984 9107400
1984-07-08 7 49 8 1984 9107400
1984-07-15 7 50 15 1984 9107400
1984-07-22 7 51 22 1984 9107400
1984-07-29 7 52 29 1984 9107400
1984-08-05 8 1 5 1984 9107400
1984-08-12 8 2 12 1984 9107400
1984-08-19 8 3 19 1984 9107400
1984-08-26 8 4 26 1984 9107400
1984-09-02 9 5 2 1984 9107400
1984-09-09 9 6 9 1984 9107400
1984-09-16 9 7 16 1984 9107400
1984-09-23 9 8 23 1984 9107400
1984-09-30 9 9 30 1984 9107400
1984-10-07 10 10 7 1984 9107400
1984-10-14 10 11 14 1984 9107400
1984-10-21 10 12 21 1984 9107400
1984-10-28 10 13 28 1984 9107400
1984-11-04 11 14 4 1984 9107400
1984-11-11 11 15 11 1984 9107400
1984-11-18 11 16 18 1984 9107400
1984-11-25 11 17 25 1984 9107400
1984-12-02 12 18 2 1984 9107400
1984-12-09 12 19 9 1984 9107400
1984-12-16 12 20 16 1984 9107400
1984-12-23 12 21 23 1984 9107400
1984-12-30 12 22 30 1984 9107400
1985-01-06 1 23 6 1985 7450294
1985-01-13 1 24 13 1985 7450294
1985-01-20 1 25 20 1985 7450294
1985-01-27 1 26 27 1985 7450294
1985-02-03 2 27 3 1985 7450294
1985-02-10 2 28 10 1985 7144542
1985-02-17 2 29 17 1985 7554113
1985-02-24 2 30 24 1985 8021800
1985-03-03 3 31 3 1985 8349854
1985-03-10 3 32 10 1985 8424628
1985-03-17 3 33 17 1985 8456362
1985-03-24 3 34 24 1985 8482147
1985-03-31 3 35 31 1985 8518839
1985-04-07 4 36 7 1985 8529550
1985-04-14 4 37 14 1985 8488800
1985-04-21 4 38 21 1985 8448050
1985-04-28 4 39 28 1985 8407300
1985-05-05 5 40 5 1985 8407300
1985-05-12 5 41 12 1985 8407300
1985-05-19 5 42 19 1985 9107400
1985-05-26 5 43 26 1985 9107400
1985-06-02 6 44 2 1985 9107400
1985-06-09 6 45 9 1985 9107400
1985-06-16 6 46 16 1985 9107400
1985-06-23 6 47 23 1985 9107400
1985-06-30 6 48 30 1985 9107400
1985-07-07 7 49 7 1985 9107400
1985-07-14 7 50 14 1985 9107400
1985-07-21 7 51 21 1985 9107400
1985-07-28 7 52 28 1985 9107400
1985-08-04 8 1 4 1985 9107400
1985-08-11 8 2 11 1985 9107400
1985-08-18 8 3 18 1985 9107400
1985-08-25 8 4 25 1985 9107400
1985-09-01 9 5 1 1985 9107400
1985-09-08 9 6 8 1985 9107400
1985-09-15 9 7 15 1985 9107400
1985-09-22 9 8 22 1985 9107400
1985-09-29 9 9 29 1985 9107400
1985-10-06 10 10 6 1985 9107400
1985-10-13 10 11 13 1985 9107400
1985-10-20 10 12 20 1985 9107400
1985-10-27 10 13 27 1985 9107400
1985-11-03 11 14 3 1985 9107400
1985-11-10 11 15 10 1985 9107400
1985-11-17 11 16 17 1985 9107400
1985-11-24 11 17 24 1985 9107400
1985-12-01 12 18 1 1985 9107400
1985-12-08 12 19 8 1985 9107400
1985-12-15 12 20 15 1985 9107400
1985-12-22 12 21 22 1985 9107400
1985-12-29 12 22 29 1985 9107400
1986-01-05 1 23 5 1986 7450294
1986-01-12 1 24 12 1986 7450294
1986-01-19 1 25 19 1986 7450294
1986-01-26 1 26 26 1986 7450294
1986-02-02 2 27 2 1986 7450294
1986-02-09 2 28 9 1986 7091088
1986-02-16 2 29 16 1986 6804475.54083778
1986-02-23 2 30 23 1986 7272162.54083778
1986-03-02 3 31 2 1986 7600216.54083778
1986-03-09 3 32 9 1986 7674990.54083778
1986-03-16 3 33 16 1986 7706724.54083778
1986-03-23 3 34 23 1986 7732509.54083778
1986-03-30 3 35 30 1986 7769201.54083778
1986-04-06 4 36 6 1986 7779912.54083778
1986-04-13 4 37 13 1986 7199321.56086784
1986-04-20 4 38 20 1986 6618730.58089789
1986-04-27 4 39 27 1986 6038139.60092795
1986-05-04 5 40 4 1986 6038139.60092795
1986-05-11 5 41 11 1986 6038139.60092795
1986-05-18 5 42 18 1986 9107400
1986-05-25 5 43 25 1986 9107400
1986-06-01 6 44 1 1986 9107400
1986-06-08 6 45 8 1986 9107400
1986-06-15 6 46 15 1986 9107400
1986-06-22 6 47 22 1986 9107400
1986-06-29 6 48 29 1986 9107400
1986-07-06 7 49 6 1986 9107400
1986-07-13 7 50 13 1986 9107400
1986-07-20 7 51 20 1986 9107400
1986-07-27 7 52 27 1986 9107400
1986-08-03 8 1 3 1986 9107400
1986-08-10 8 2 10 1986 9107400
1986-08-17 8 3 17 1986 9107400
1986-08-24 8 4 24 1986 9107400
1986-08-31 8 5 31 1986 9107400
1986-09-07 9 6 7 1986 9107400
1986-09-14 9 7 14 1986 9107400
1986-09-21 9 8 21 1986 9107400
1986-09-28 9 9 28 1986 9107400
1986-10-05 10 10 5 1986 9107400
1986-10-12 10 11 12 1986 9107400
1986-10-19 10 12 19 1986 9107400
1986-10-26 10 13 26 1986 9107400
1986-11-02 11 14 2 1986 9107400
1986-11-09 11 15 9 1986 9107400
1986-11-16 11 16 16 1986 9107400
1986-11-23 11 17 23 1986 9107400
1986-11-30 11 18 30 1986 9107400
1986-12-07 12 19 7 1986 9107400
1986-12-14 12 20 14 1986 9107400
1986-12-21 12 21 21 1986 9107400
1986-12-28 12 22 28 1986 9107400
1987-01-04 1 23 4 1987 7450294
1987-01-11 1 24 11 1987 7450294
1987-01-18 1 25 18 1987 7450294
1987-01-25 1 26 25 1987 7450294
1987-02-01 2 27 1 1987 7450294
1987-02-08 2 28 8 1987 7185292
1987-02-15 2 29 15 1987 7594863
1987-02-22 2 30 22 1987 8062550
1987-03-01 3 31 1 1987 8390604
1987-03-08 3 32 8 1987 8465378
1987-03-15 3 33 15 1987 8497112
1987-03-22 3 34 22 1987 8522897
1987-03-29 3 35 29 1987 8559589
1987-04-05 4 36 5 1987 8570300
1987-04-12 4 37 12 1987 8570300
1987-04-19 4 38 19 1987 8570300
1987-04-26 4 39 26 1987 8570300
1987-05-03 5 40 3 1987 8570300
1987-05-10 5 41 10 1987 8570300
1987-05-17 5 42 17 1987 9107400
1987-05-24 5 43 24 1987 9107400
1987-05-31 5 44 31 1987 9107400
1987-06-07 6 45 7 1987 9107400
1987-06-14 6 46 14 1987 9107400
1987-06-21 6 47 21 1987 9107400
1987-06-28 6 48 28 1987 9107400
1987-07-05 7 49 5 1987 9107400
1987-07-12 7 50 12 1987 9107400
1987-07-19 7 51 19 1987 9107400
1987-07-26 7 52 26 1987 9107400
1987-08-02 8 1 2 1987 9107400
1987-08-09 8 2 9 1987 9107400
1987-08-16 8 3 16 1987 9107400
1987-08-23 8 4 23 1987 9107400
1987-08-30 8 5 30 1987 9107400
1987-09-06 9 6 6 1987 9107400
1987-09-13 9 7 13 1987 9107400
1987-09-20 9 8 20 1987 9107400
1987-09-27 9 9 27 1987 9107400
1987-10-04 10 10 4 1987 9107400
1987-10-11 10 11 11 1987 9107400
1987-10-18 10 12 18 1987 9107400
1987-10-25 10 13 25 1987 9107400
1987-11-01 11 14 1 1987 9107400
1987-11-08 11 15 8 1987 9107400
1987-11-15 11 16 15 1987 9107400
1987-11-22 11 17 22 1987 9107400
1987-11-29 11 18 29 1987 9107400
1987-12-06 12 19 6 1987 9107400
1987-12-13 12 20 13 1987 9107400
1987-12-20 12 21 20 1987 9107400
1987-12-27 12 22 27 1987 9107400
1988-01-03 1 23 3 1988 7450294
1988-01-10 1 24 10 1988 7450294
1988-01-17 1 25 17 1988 7450294
1988-01-24 1 26 24 1988 7450294
1988-01-31 1 27 31 1988 7450294
1988-02-07 2 28 7 1988 7185292
1988-02-14 2 29 14 1988 7594863
1988-02-21 2 30 21 1988 8062550
1988-02-28 2 31 28 1988 8390604
1988-03-06 3 32 6 1988 8465378
1988-03-13 3 33 13 1988 8497112
1988-03-20 3 34 20 1988 8522897
1988-03-27 3 35 27 1988 8559589
1988-04-03 4 36 3 1988 8570300
1988-04-10 4 37 10 1988 8570300
1988-04-17 4 38 17 1988 8570300
1988-04-24 4 39 24 1988 8570300
1988-05-01 5 40 1 1988 8570300
1988-05-08 5 41 8 1988 8570300
1988-05-15 5 42 15 1988 9107400
1988-05-22 5 43 22 1988 9107400
1988-05-29 5 44 29 1988 9107400
1988-06-05 6 45 5 1988 9107400
1988-06-12 6 46 12 1988 9107400
1988-06-19 6 47 19 1988 9107400
1988-06-26 6 48 26 1988 9107400
1988-07-03 7 49 3 1988 9107400
1988-07-10 7 50 10 1988 9107400
1988-07-17 7 51 17 1988 9107400
1988-07-24 7 52 24 1988 9107400
1988-07-31 7 52 31 1988 9107400
1988-08-07 8 1 7 1988 9107400
1988-08-14 8 2 14 1988 9107400
1988-08-21 8 3 21 1988 9107400
1988-08-28 8 4 28 1988 9107400
1988-09-04 9 5 4 1988 9107400
1988-09-11 9 6 11 1988 9107400
1988-09-18 9 7 18 1988 9107400
1988-09-25 9 8 25 1988 9107400
1988-10-02 10 9 2 1988 9107400
1988-10-09 10 10 9 1988 9107400
1988-10-16 10 11 16 1988 9107400
1988-10-23 10 12 23 1988 9107400
1988-10-30 10 13 30 1988 9107400
1988-11-06 11 14 6 1988 9107400
1988-11-13 11 15 13 1988 9107400
1988-11-20 11 16 20 1988 9107400
1988-11-27 11 17 27 1988 9107400
1988-12-04 12 18 4 1988 9107400
1988-12-11 12 19 11 1988 9107400
1988-12-18 12 20 18 1988 9107400
1988-12-25 12 21 25 1988 9107400
1989-01-01 1 22 1 1989 9107400
1989-01-08 1 23 8 1989 7450294
1989-01-15 1 24 15 1989 7450294
1989-01-22 1 25 22 1989 7450294
1989-01-29 1 26 29 1989 7450294
1989-02-05 2 27 5 1989 7450294
1989-02-12 2 28 12 1989 7091088
1989-02-19 2 29 19 1989 6731882
1989-02-26 2 30 26 1989 6924887.73115518
1989-03-05 3 31 5 1989 7252941.73115518
1989-03-12 3 32 12 1989 7327715.73115518
1989-03-19 3 33 19 1989 7359449.73115518
1989-03-26 3 34 26 1989 7385234.73115518
1989-04-02 4 35 2 1989 7421926.73115518
1989-04-09 4 36 9 1989 7432637.73115518
1989-04-16 4 37 16 1989 6863872.66011987
1989-04-23 4 38 23 1989 6295107.58908456
1989-04-30 4 39 30 1989 5726342.51804925
1989-05-07 5 40 7 1989 5726342.51804925
1989-05-14 5 41 14 1989 5726342.51804925
1989-05-21 5 42 21 1989 9107400
1989-05-28 5 43 28 1989 9107400
1989-06-04 6 44 4 1989 9107400
1989-06-11 6 45 11 1989 9107400
1989-06-18 6 46 18 1989 9107400
1989-06-25 6 47 25 1989 9107400
1989-07-02 7 48 2 1989 9107400
1989-07-09 7 49 9 1989 9107400
1989-07-16 7 50 16 1989 9107400
1989-07-23 7 51 23 1989 9107400
1989-07-30 7 52 30 1989 9107400
1989-08-06 8 1 6 1989 9107400
1989-08-13 8 2 13 1989 9107400
1989-08-20 8 3 20 1989 9107400
1989-08-27 8 4 27 1989 9107400
1989-09-03 9 5 3 1989 9107400
1989-09-10 9 6 10 1989 9107400
1989-09-17 9 7 17 1989 9107400
1989-09-24 9 8 24 1989 9107400
1989-10-01 10 9 1 1989 9107400
1989-10-08 10 10 8 1989 9107400
1989-10-15 10 11 15 1989 9107400
1989-10-22 10 12 22 1989 9107400
1989-10-29 10 13 29 1989 9107400
1989-11-05 11 14 5 1989 9107400
1989-11-12 11 15 12 1989 9107400
1989-11-19 11 16 19 1989 9107400
1989-11-26 11 17 26 1989 9107400
1989-12-03 12 18 3 1989 9107400
1989-12-10 12 19 10 1989 9107400
1989-12-17 12 20 17 1989 9107400
1989-12-24 12 21 24 1989 9107400
1989-12-31 12 22 31 1989 9107400
1990-01-07 1 23 7 1990 7450294
1990-01-14 1 24 14 1990 7450294
1990-01-21 1 25 21 1990 7450294
1990-01-28 1 26 28 1990 7450294
1990-02-04 2 27 4 1990 7450294
1990-02-11 2 28 11 1990 7091088
1990-02-18 2 29 18 1990 6731882
1990-02-25 2 30 25 1990 7071242.58632116
1990-03-04 3 31 4 1990 7399296.58632116
1990-03-11 3 32 11 1990 7474070.58632116
1990-03-18 3 33 18 1990 7505804.58632116
1990-03-25 3 34 25 1990 7531589.58632116
1990-04-01 4 35 1 1990 7568281.58632116
1990-04-08 4 36 8 1990 7578992.58632116
1990-04-15 4 37 15 1990 7005243.62603999
1990-04-22 4 38 22 1990 6431494.66575882
1990-04-29 4 39 29 1990 5857745.70547766
1990-05-06 5 40 6 1990 5857745.70547766
1990-05-13 5 41 13 1990 5857745.70547766
1990-05-20 5 42 20 1990 9107400
1990-05-27 5 43 27 1990 9107400
1990-06-03 6 44 3 1990 9107400
1990-06-10 6 45 10 1990 9107400
1990-06-17 6 46 17 1990 9107400
1990-06-24 6 47 24 1990 9107400
1990-07-01 7 48 1 1990 9107400
1990-07-08 7 49 8 1990 9107400
1990-07-15 7 50 15 1990 9107400
1990-07-22 7 51 22 1990 9107400
1990-07-29 7 52 29 1990 9107400
1990-08-05 8 1 5 1990 9107400
1990-08-12 8 2 12 1990 9107400
1990-08-19 8 3 19 1990 9107400
1990-08-26 8 4 26 1990 9107400
1990-09-02 9 5 2 1990 9107400
1990-09-09 9 6 9 1990 9107400
1990-09-16 9 7 16 1990 9107400
1990-09-23 9 8 23 1990 9107400
1990-09-30 9 9 30 1990 9107400
1990-10-07 10 10 7 1990 9107400
1990-10-14 10 11 14 1990 9107400
1990-10-21 10 12 21 1990 9107400
1990-10-28 10 13 28 1990 9107400
1990-11-04 11 14 4 1990 9107400
1990-11-11 11 15 11 1990 9107400
1990-11-18 11 16 18 1990 9107400
1990-11-25 11 17 25 1990 9107400
1990-12-02 12 18 2 1990 9107400
1990-12-09 12 19 9 1990 9107400
1990-12-16 12 20 16 1990 9107400
1990-12-23 12 21 23 1990 9107400
1990-12-30 12 22 30 1990 9107400
1991-01-06 1 23 6 1991 7450294
1991-01-13 1 24 13 1991 7450294
1991-01-20 1 25 20 1991 7450294
1991-01-27 1 26 27 1991 7450294
1991-02-03 2 27 3 1991 7450294
1991-02-10 2 28 10 1991 7091088
1991-02-17 2 29 17 1991 6731882
1991-02-24 2 30 24 1991 6372675
1991-03-03 3 31 3 1991 6372719.31881032
1991-03-10 3 32 10 1991 6447493.31881032
1991-03-17 3 33 17 1991 6479227.31881032
1991-03-24 3 34 24 1991 6505012.31881032
1991-03-31 3 35 31 1991 6541704.31881032
1991-04-07 4 36 7 1991 6552415.31881032
1991-04-14 4 37 14 1991 6062258.59515995
1991-04-21 4 38 21 1991 5572101.87150958
1991-04-28 4 39 28 1991 5081945.14785921
1991-05-05 5 40 5 1991 5081945.14785921
1991-05-12 5 41 12 1991 5081945.14785921
1991-05-19 5 42 19 1991 9107400
1991-05-26 5 43 26 1991 9107400
1991-06-02 6 44 2 1991 9107400
1991-06-09 6 45 9 1991 9107400
1991-06-16 6 46 16 1991 9107400
1991-06-23 6 47 23 1991 9107400
1991-06-30 6 48 30 1991 9107400
1991-07-07 7 49 7 1991 9107400
1991-07-14 7 50 14 1991 9107400
1991-07-21 7 51 21 1991 9107400
1991-07-28 7 52 28 1991 9107400
1991-08-04 8 1 4 1991 9107400
1991-08-11 8 2 11 1991 9107400
1991-08-18 8 3 18 1991 9107400
1991-08-25 8 4 25 1991 9107400
1991-09-01 9 5 1 1991 9107400
1991-09-08 9 6 8 1991 9107400
1991-09-15 9 7 15 1991 9107400
1991-09-22 9 8 22 1991 9107400
1991-09-29 9 9 29 1991 9107400
1991-10-06 10 10 6 1991 9107400
1991-10-13 10 11 13 1991 9107400
1991-10-20 10 12 20 1991 9107400
1991-10-27 10 13 27 1991 9107400
1991-11-03 11 14 3 1991 9107400
1991-11-10 11 15 10 1991 9107400
1991-11-17 11 16 17 1991 9107400
1991-11-24 11 17 24 1991 9107400
1991-12-01 12 18 1 1991 9107400
1991-12-08 12 19 8 1991 9107400
1991-12-15 12 20 15 1991 9107400
1991-12-22 12 21 22 1991 9107400
1991-12-29 12 22 29 1991 9107400
1992-01-05 1 23 5 1992 7450294
1992-01-12 1 24 12 1992 7450294
1992-01-19 1 25 19 1992 7450294
1992-01-26 1 26 26 1992 7450294
1992-02-02 2 27 2 1992 7450294
1992-02-09 2 28 9 1992 7185292
1992-02-16 2 29 16 1992 7594863
1992-02-23 2 30 23 1992 8062550
1992-03-01 3 31 1 1992 8390604
1992-03-08 3 32 8 1992 8465378
1992-03-15 3 33 15 1992 8497112
1992-03-22 3 34 22 1992 8522897
1992-03-29 3 35 29 1992 8559589
1992-04-05 4 36 5 1992 8570300
1992-04-12 4 37 12 1992 8570300
1992-04-19 4 38 19 1992 8570300
1992-04-26 4 39 26 1992 8570300
1992-05-03 5 40 3 1992 8570300
1992-05-10 5 41 10 1992 8570300
1992-05-17 5 42 17 1992 9107400
1992-05-24 5 43 24 1992 9107400
1992-05-31 5 44 31 1992 9107400
1992-06-07 6 45 7 1992 9107400
1992-06-14 6 46 14 1992 9107400
1992-06-21 6 47 21 1992 9107400
1992-06-28 6 48 28 1992 9107400
1992-07-05 7 49 5 1992 9107400
1992-07-12 7 50 12 1992 9107400
1992-07-19 7 51 19 1992 9107400
1992-07-26 7 52 26 1992 9107400
1992-08-02 8 1 2 1992 9107400
